Sample	Top over-represented sequence	Sum of remaining over-represented sequences
Sde-AMat_032-SdA01032-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_033-SdA01033-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_033-SdA01033-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_034-SdA01034-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_034-SdA01034-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_035-SdA01035-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_035-SdA01035-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_036-SdA01036-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_036-SdA01036-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_037-SdA01037-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_037-SdA01037-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_038-SdA01038-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_038-SdA01038-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_039-SdA01039-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_039-SdA01039-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_040-SdA01040-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_040-SdA01040-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_041-SdA01041-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_041-SdA01041-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_042-SdA01042-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_042-SdA01042-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_043-SdA01043-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_043-SdA01043-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_045-SdA01045-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_045-SdA01045-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_046-SdA01046-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_046-SdA01046-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_047-SdA01047-L2-clmp-fp2-repr.R1	0.0	0.0
