Sample	Protists_1k	Human	Fungi_RefSeq_release	Bacteria_24k	Bird	Plant	Coral	Viruses	Vectors	Multiple Genomes	No hits
Tzo-CMvi_061-Ex1_L4_clmp.fp2_r2_screen	19439.0	2355.0	1838.0	434.0	1248.0	352.0	318.0	91.0	6.0	102228.0	1656234.0
Tzo-CMvi_063-Ex1_L4_clmp.fp2_r1_screen	49460.0	6126.0	4787.0	1145.0	3448.0	792.0	789.0	187.0	8.0	230638.0	4760096.0
Tzo-CMvi_063-Ex1_L4_clmp.fp2_r2_screen	51245.0	6264.0	4721.0	1212.0	3472.0	890.0	762.0	215.0	5.0	239215.0	4749475.0
Tzo-CMvi_064-Ex1_L4_clmp.fp2_r1_screen	21187.0	2540.0	1972.0	695.0	1563.0	367.0	376.0	97.0	5.0	106432.0	2045950.0
Tzo-CMvi_064-Ex1_L4_clmp.fp2_r2_screen	22591.0	2495.0	2059.0	611.0	1602.0	425.0	330.0	81.0	3.0	113107.0	2037880.0
Tzo-CMvi_065-Ex1_L4_clmp.fp2_r1_screen	38101.0	5102.0	3624.0	1019.0	2701.0	680.0	647.0	148.0	7.0	191480.0	3531809.0
Tzo-CMvi_065-Ex1_L4_clmp.fp2_r2_screen	39982.0	5082.0	3565.0	937.0	2760.0	667.0	608.0	141.0	11.0	198816.0	3522749.0
Tzo-CMvi_066-Ex1_L4_clmp.fp2_r1_screen	23758.0	2888.0	2034.0	555.0	1637.0	421.0	384.0	97.0	8.0	123373.0	2033204.0
Tzo-CMvi_066-Ex1_L4_clmp.fp2_r2_screen	24595.0	2829.0	2076.0	539.0	1561.0	394.0	360.0	100.0	1.0	128171.0	2027733.0
Tzo-CMvi_067-Ex1_L4_clmp.fp2_r1_screen	35461.0	4653.0	3315.0	1049.0	2430.0	671.0	674.0	149.0	19.0	170254.0	3208820.0
Tzo-CMvi_067-Ex1_L4_clmp.fp2_r2_screen	36685.0	4774.0	3301.0	1037.0	2332.0	696.0	626.0	162.0	12.0	177618.0	3200252.0
Tzo-CMvi_068-Ex1_L4_clmp.fp2_r1_screen	42788.0	5245.0	4220.0	1200.0	2642.0	754.0	786.0	179.0	22.0	215865.0	3608577.0
Tzo-CMvi_068-Ex1_L4_clmp.fp2_r2_screen	44613.0	5399.0	4279.0	1139.0	2747.0	814.0	710.0	184.0	10.0	225841.0	3596542.0
Tzo-CMvi_069-Ex1_L4_clmp.fp2_r1_screen	44617.0	5735.0	4160.0	956.0	3003.0	800.0	674.0	167.0	3.0	203821.0	4186908.0
Tzo-CMvi_069-Ex1_L4_clmp.fp2_r2_screen	47691.0	5857.0	4245.0	1072.0	2926.0	800.0	699.0	180.0	7.0	212476.0	4174891.0
Tzo-CMvi_070-Ex1_L4_clmp.fp2_r1_screen	23954.0	3998.0	2417.0	1195.0	1645.0	456.0	447.0	107.0	13.0	123578.0	2122668.0
Tzo-CMvi_070-Ex1_L4_clmp.fp2_r2_screen	25393.0	4009.0	2432.0	1223.0	1658.0	473.0	328.0	105.0	5.0	129253.0	2115599.0
Tzo-CMvi_075-Ex1_L4_clmp.fp2_r1_screen	18836.0	2116.0	1691.0	619.0	1250.0	378.0	307.0	63.0	0.0	104119.0	1721526.0
Tzo-CMvi_075-Ex1_L4_clmp.fp2_r2_screen	19698.0	2443.0	1769.0	683.0	1354.0	339.0	292.0	129.0	1.0	106373.0	1717824.0
Tzo-CMvi_076-Ex1_L4_clmp.fp2_r1_screen	19437.0	2427.0	1777.0	521.0	1285.0	312.0	360.0	97.0	3.0	100042.0	1801379.0
Tzo-CMvi_076-Ex1_L4_clmp.fp2_r2_screen	20980.0	2520.0	1834.0	573.0	1288.0	345.0	351.0	74.0	0.0	105235.0	1794440.0
Tzo-CMvi_077-Ex1_L4_clmp.fp2_r1_screen	30282.0	3998.0	2966.0	1443.0	2169.0	508.0	537.0	161.0	12.0	149238.0	2664116.0
Tzo-CMvi_077-Ex1_L4_clmp.fp2_r2_screen	32238.0	4089.0	2971.0	1474.0	2058.0	558.0	493.0	140.0	4.0	155285.0	2656120.0
Tzo-CMvi_078-Ex1_L4_clmp.fp2_r1_screen	7285.0	875.0	780.0	350.0	467.0	163.0	121.0	18.0	5.0	38504.0	694057.0
Tzo-CMvi_078-Ex1_L4_clmp.fp2_r2_screen	7783.0	1055.0	769.0	373.0	528.0	159.0	130.0	33.0	0.0	41006.0	690789.0
Tzo-CMvi_079-Ex1_L4_clmp.fp2_r1_screen	28562.0	3455.0	2498.0	1076.0	1739.0	440.0	448.0	129.0	1.0	152184.0	2578814.0
Tzo-CMvi_079-Ex1_L4_clmp.fp2_r2_screen	30076.0	3365.0	2481.0	1018.0	1763.0	482.0	418.0	91.0	4.0	157480.0	2572168.0
Tzo-CMvi_081-Ex1_L4_clmp.fp2_r1_screen	2069.0	246.0	267.0	87.0	148.0	37.0	32.0	17.0	0.0	12002.0	228636.0
Tzo-CMvi_081-Ex1_L4_clmp.fp2_r2_screen	2277.0	259.0	297.0	86.0	155.0	35.0	40.0	15.0	0.0	12813.0	227564.0
Tzo-CMvi_082-Ex1_L4_clmp.fp2_r1_screen	30982.0	4071.0	2846.0	1096.0	1928.0	592.0	498.0	169.0	11.0	148640.0	2700561.0
Tzo-CMvi_082-Ex1_L4_clmp.fp2_r2_screen	32352.0	4239.0	3133.0	1162.0	2038.0	593.0	480.0	136.0	3.0	153347.0	2693911.0
Tzo-CMvi_083-Ex1_L4_clmp.fp2_r1_screen	52372.0	7046.0	5009.0	1032.0	3691.0	1070.0	898.0	229.0	19.0	253979.0	4990737.0
Tzo-CMvi_083-Ex1_L4_clmp.fp2_r2_screen	54587.0	7207.0	5288.0	1169.0	3585.0	1080.0	829.0	244.0	15.0	261973.0	4980105.0
Tzo-CMvi_087-Ex1_L4_clmp.fp2_r1_screen	17885.0	2145.0	1574.0	611.0	1098.0	243.0	262.0	73.0	6.0	94304.0	1614941.0
Tzo-CMvi_087-Ex1_L4_clmp.fp2_r2_screen	19279.0	2105.0	1594.0	527.0	1052.0	297.0	267.0	112.0	6.0	96428.0	1611475.0
Tzo-CMvi_088-Ex1_L4_clmp.fp2_r1_screen	22925.0	2908.0	2055.0	598.0	1697.0	436.0	369.0	71.0	4.0	118037.0	2134203.0
Tzo-CMvi_088-Ex1_L4_clmp.fp2_r2_screen	24406.0	3021.0	2241.0	595.0	1569.0	437.0	449.0	89.0	1.0	120402.0	2130093.0
Tzo-CMvi_089-Ex1_L4_clmp.fp2_r1_screen	19465.0	1439.0	1079.0	1134.0	793.0	213.0	199.0	54.0	4.0	65217.0	1072487.0
Tzo-CMvi_089-Ex1_L4_clmp.fp2_r2_screen	19734.0	1597.0	1139.0	1123.0	897.0	253.0	183.0	43.0	2.0	67531.0	1069582.0
Tzo-CMvi_090-Ex1_L4_clmp.fp2_r1_screen	41552.0	5460.0	4087.0	1005.0	2991.0	734.0	753.0	219.0	13.0	213645.0	3796593.0
Tzo-CMvi_090-Ex1_L4_clmp.fp2_r2_screen	43144.0	5432.0	4038.0	1020.0	2895.0	847.0	702.0	198.0	1.0	219096.0	3789679.0
Tzo-CMvi_091-Ex1_L4_clmp.fp2_r1_screen	25003.0	3054.0	2391.0	903.0	1640.0	412.0	434.0	122.0	11.0	131547.0	2264977.0
Tzo-CMvi_091-Ex1_L4_clmp.fp2_r2_screen	26634.0	3045.0	2481.0	960.0	1571.0	404.0	410.0	102.0	3.0	137685.0	2257199.0
Tzo-CMvi_094-Ex1_L4_clmp.fp2_r1_screen	19632.0	2375.0	1786.0	552.0	1235.0	330.0	331.0	70.0	2.0	92065.0	1766614.0
Tzo-CMvi_094-Ex1_L4_clmp.fp2_r2_screen	20456.0	2463.0	1879.0	617.0	1228.0	312.0	260.0	73.0	5.0	96740.0	1760959.0
