Sample	Protists_1k	Human	Fungi_RefSeq_release	Bacteria_24k	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
LlC01032_CKDL210012719-1a-AK9142-7UDI227_HF5TCDSX2_L1_clmp_fp2_r1_screen	27526.0	2943.0	2266.0	830.0	1344.0	364.0	255.0	169.0	5.0	0.0	128383.0	1812841.0
LlC01032_CKDL210012719-1a-AK9142-7UDI227_HF5TCDSX2_L1_clmp_fp2_r2_screen	27550.0	2948.0	2279.0	818.0	1365.0	369.0	274.0	202.0	7.0	0.0	129657.0	1811457.0
LlC01033_CKDL210012719-1a-AK8410-AK9148_HF5TCDSX2_L1_clmp_fp2_r1_screen	78759.0	8650.0	6606.0	1609.0	4282.0	1121.0	684.0	698.0	15.0	0.0	455228.0	5445053.0
LlC01033_CKDL210012719-1a-AK8410-AK9148_HF5TCDSX2_L1_clmp_fp2_r2_screen	81656.0	8654.0	6504.0	1610.0	4139.0	1112.0	676.0	676.0	17.0	0.0	460411.0	5437250.0
LlC01034_CKDL210012719-1a-5UDI312-7UDI243_HF5TCDSX2_L1_clmp_fp2_r1_screen	24799.0	2989.0	2189.0	491.0	1315.0	360.0	219.0	176.0	7.0	1.0	127649.0	1711231.0
LlC01034_CKDL210012719-1a-5UDI312-7UDI243_HF5TCDSX2_L1_clmp_fp2_r2_screen	25747.0	3073.0	2116.0	538.0	1235.0	353.0	226.0	172.0	2.0	0.0	129727.0	1708237.0
LlC01035_CKDL210012719-1a-AK7759-AK4997_HF5TCDSX2_L1_clmp_fp2_r1_screen	45356.0	5667.0	3800.0	744.0	2496.0	718.0	415.0	321.0	11.0	0.0	247764.0	3032835.0
LlC01035_CKDL210012719-1a-AK7759-AK4997_HF5TCDSX2_L1_clmp_fp2_r2_screen	46986.0	5612.0	3925.0	810.0	2314.0	659.0	399.0	347.0	10.0	0.0	248902.0	3030163.0
LlC01036_CKDL210012719-1a-AK7010-7UDI243_HF5TCDSX2_L1_clmp_fp2_r1_screen	32017.0	3408.0	2690.0	557.0	1560.0	448.0	278.0	204.0	12.0	0.0	160691.0	2215675.0
LlC01036_CKDL210012719-1a-AK7010-7UDI243_HF5TCDSX2_L1_clmp_fp2_r2_screen	32916.0	3446.0	2731.0	558.0	1559.0	412.0	263.0	200.0	6.0	0.0	162675.0	2212774.0
LlC01037_CKDL210012719-1a-AK6881-AK8544_HF5TCDSX2_L1_clmp_fp2_r1_screen	36067.0	3731.0	3087.0	709.0	1781.0	556.0	310.0	254.0	24.0	1.0	202990.0	2553970.0
LlC01037_CKDL210012719-1a-AK6881-AK8544_HF5TCDSX2_L1_clmp_fp2_r2_screen	37348.0	3875.0	3159.0	720.0	1744.0	532.0	304.0	261.0	9.0	0.0	206604.0	2548924.0
LlC01038_CKDL210012719-1a-AK6881-7UDI227_HF5TCDSX2_L1_clmp_fp2_r1_screen	52216.0	6013.0	4343.0	1142.0	2635.0	707.0	472.0	389.0	43.0	0.0	305927.0	3484592.0
LlC01038_CKDL210012719-1a-AK6881-7UDI227_HF5TCDSX2_L1_clmp_fp2_r2_screen	53699.0	5952.0	4587.0	1125.0	2516.0	711.0	454.0	392.0	10.0	0.0	308300.0	3480733.0
LlC01039_CKDL210012719-1a-AK7761-AK4997_HF5TCDSX2_L1_clmp_fp2_r1_screen	31615.0	3765.0	2706.0	672.0	1618.0	498.0	242.0	196.0	8.0	0.0	173329.0	1986877.0
LlC01039_CKDL210012719-1a-AK7761-AK4997_HF5TCDSX2_L1_clmp_fp2_r2_screen	31937.0	3612.0	2612.0	657.0	1578.0	486.0	270.0	223.0	10.0	0.0	174145.0	1985996.0
LlC01040_CKDL210012719-1a-5UDI312-AK892_HF5TCDSX2_L1_clmp_fp2_r1_screen	41767.0	4604.0	3568.0	849.0	2065.0	574.0	382.0	290.0	14.0	1.0	240584.0	2797611.0
LlC01040_CKDL210012719-1a-5UDI312-AK892_HF5TCDSX2_L1_clmp_fp2_r2_screen	0.0	15792.0	17355.0	0.0	2955.0	1532.0	725.0	477.0	16.0	0.0	214099.0	2839358.0
LlC01041_CKDL210012719-1a-5UDI312-7UDI227_HF5TCDSX2_L1_clmp_fp2_r1_screen	43896.0	6262.0	3791.0	787.0	2289.0	617.0	358.0	319.0	17.0	0.0	265106.0	2774655.0
LlC01041_CKDL210012719-1a-5UDI312-7UDI227_HF5TCDSX2_L1_clmp_fp2_r2_screen	45111.0	6454.0	3940.0	877.0	2291.0	597.0	341.0	336.0	13.0	0.0	266580.0	2771557.0
LlC01042_CKDL210012719-1a-AK6260-AK9148_HF5TCDSX2_L1_clmp_fp2_r1_screen	64056.0	7449.0	5314.0	1255.0	2949.0	928.0	558.0	488.0	28.0	1.0	385668.0	4081725.0
LlC01043_CKDL210012719-1a-AK7010-7UDI227_HF5TCDSX2_L1_clmp_fp2_r1_screen	9346.0	981.0	753.0	274.0	479.0	146.0	85.0	65.0	0.0	0.0	43856.0	608918.0
LlC01043_CKDL210012719-1a-AK7010-7UDI227_HF5TCDSX2_L1_clmp_fp2_r2_screen	9460.0	963.0	729.0	265.0	458.0	127.0	77.0	59.0	4.0	0.0	44109.0	608652.0
LlC01044_CKDL210012719-1a-5UDI312-AK4997_HF5TCDSX2_L1_clmp_fp2_r1_screen	33392.0	3801.0	2758.0	772.0	1684.0	492.0	296.0	201.0	7.0	0.0	185141.0	2154602.0
LlC01045_CKDL210012719-1a-AK8410-7UDI227_HF5TCDSX2_L1_clmp_fp2_r1_screen	54239.0	7954.0	4684.0	1189.0	2916.0	776.0	480.0	380.0	12.0	0.0	304960.0	3695650.0
LlC01045_CKDL210012719-1a-AK8410-7UDI227_HF5TCDSX2_L1_clmp_fp2_r2_screen	55872.0	7934.0	4737.0	1266.0	2928.0	783.0	441.0	449.0	15.0	0.0	308053.0	3690762.0
LlC01047_CKDL210012719-1a-AK7759-7UDI243_HF5TCDSX2_L1_clmp_fp2_r1_screen	24691.0	2892.0	2155.0	655.0	1160.0	404.0	239.0	152.0	6.0	0.0	131998.0	1558407.0
LlC01047_CKDL210012719-1a-AK7759-7UDI243_HF5TCDSX2_L1_clmp_fp2_r2_screen	25516.0	2883.0	2166.0	669.0	1134.0	345.0	225.0	169.0	8.0	0.0	133649.0	1555995.0
LlC01048_CKDL210012719-1a-AK6881-AK33_HF5TCDSX2_L1_clmp_fp2_r1_screen	30119.0	3894.0	2550.0	729.0	1420.0	404.0	308.0	184.0	13.0	0.0	145688.0	2018118.0
