Sample	Protists_1k	Human	Fungi_RefSeq_release	Plant	Bird	Coral	Bacteria_24k	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
SdA01069_CKDL210020579-1a-AK9146-AK533_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1329.0	296.0	224.0	91.0	60.0	42.0	30.0	27.0	1.0	0.0	293.0	4782576.0
SdA01069_CKDL210020579-1a-AK9146-AK533_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1255.0	289.0	225.0	85.0	75.0	33.0	24.0	19.0	0.0	0.0	388.0	4782576.0
SdA01071_CKDL210020579-1a-AK5577-AK533_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	513.0	121.0	112.0	56.0	40.0	27.0	21.0	13.0	0.0	0.0	94.0	1659295.0
SdA01071_CKDL210020579-1a-AK5577-AK533_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	435.0	136.0	88.0	47.0	30.0	17.0	28.0	7.0	0.0	0.0	209.0	1659295.0
SdA01072_CKDL210020579-1a-AK5577-AK4236_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1521.0	364.0	327.0	128.0	98.0	71.0	41.0	26.0	1.0	3.0	230.0	4680477.0
SdA01072_CKDL210020579-1a-AK5577-AK4236_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1424.0	337.0	250.0	113.0	95.0	51.0	17.0	25.0	0.0	0.0	498.0	4680477.0
SdA01073_CKDL210020579-1a-AK3911-AK7557_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	390.0	115.0	105.0	33.0	49.0	19.0	24.0	14.0	0.0	0.0	77.0	1375193.0
SdA01073_CKDL210020579-1a-AK3911-AK7557_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	393.0	100.0	101.0	36.0	34.0	13.0	22.0	2.0	0.0	0.0	125.0	1375193.0
SdA01074_CKDL210020579-1a-AK3911-AK10343_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	790.0	187.0	160.0	64.0	63.0	34.0	32.0	19.0	2.0	0.0	231.0	2257588.0
SdA01074_CKDL210020579-1a-AK3911-AK10343_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	668.0	185.0	152.0	46.0	58.0	26.0	20.0	14.0	1.0	0.0	186.0	2257814.0
SdA01075_CKDL210020579-1a-5UDI245-AK7557_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	917.0	228.0	197.0	74.0	55.0	39.0	23.0	18.0	0.0	0.0	324.0	3122601.0
SdA01075_CKDL210020579-1a-5UDI245-AK7557_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	837.0	200.0	177.0	67.0	64.0	37.0	23.0	16.0	0.0	0.0	142.0	3122913.0
SdA01076_CKDL210020579-1a-5UDI245-AK10343_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	517.0	157.0	98.0	46.0	32.0	19.0	17.0	9.0	0.0	0.0	185.0	1541198.0
SdA01076_CKDL210020579-1a-5UDI245-AK10343_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	481.0	100.0	86.0	37.0	23.0	26.0	18.0	8.0	0.0	0.0	147.0	1541352.0
SdA01077_CKDL210020579-1a-AK8593-AK7557_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	974.0	289.0	224.0	93.0	75.0	45.0	33.0	21.0	0.0	0.0	174.0	2751826.0
SdA01077_CKDL210020579-1a-AK8593-AK7557_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	938.0	225.0	204.0	86.0	71.0	35.0	28.0	22.0	0.0	0.0	319.0	2751826.0
SdA01078_CKDL210020579-1a-AK8593-AK10343_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	762.0	181.0	142.0	76.0	44.0	33.0	19.0	19.0	2.0	2.0	271.0	2213823.0
SdA01078_CKDL210020579-1a-AK8593-AK10343_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	697.0	167.0	162.0	59.0	48.0	23.0	27.0	7.0	0.0	0.0	140.0	2214044.0
SdA01079_CKDL210020579-1a-5UDI294-AK7557_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	843.0	232.0	156.0	83.0	40.0	23.0	20.0	14.0	0.0	0.0	279.0	2110480.0
SdA01079_CKDL210020579-1a-5UDI294-AK7557_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	707.0	181.0	137.0	58.0	47.0	34.0	17.0	18.0	0.0	0.0	280.0	2110691.0
SdA01080_CKDL210020579-1a-5UDI294-AK10343_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	544.0	161.0	126.0	58.0	38.0	26.0	12.0	11.0	1.0	0.0	91.0	1778509.0
SdA01080_CKDL210020579-1a-5UDI294-AK10343_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	501.0	131.0	81.0	58.0	41.0	24.0	13.0	13.0	0.0	0.0	206.0	1778509.0
SdA01082_CKDL210020579-1a-AK9146-AK10343_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1265.0	298.0	255.0	104.0	75.0	60.0	29.0	19.0	1.0	0.0	406.0	3136553.0
SdA01082_CKDL210020579-1a-AK9146-AK10343_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1084.0	259.0	221.0	106.0	71.0	54.0	29.0	25.0	1.0	0.0	348.0	3136867.0
SdA01083_CKDL210020579-1a-AK5577-AK7557_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1717.0	403.0	334.0	125.0	114.0	71.0	34.0	23.0	1.0	2.0	553.0	5624053.0
SdA01083_CKDL210020579-1a-AK5577-AK7557_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1553.0	361.0	302.0	124.0	90.0	55.0	31.0	27.0	1.0	0.0	270.0	5624616.0
SdA01084_CKDL210020579-1a-AK5577-AK10343_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	374.0	94.0	80.0	44.0	26.0	22.0	8.0	3.0	1.0	0.0	109.0	1085094.0
SdA01084_CKDL210020579-1a-AK5577-AK10343_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	322.0	100.0	88.0	32.0	35.0	22.0	6.0	5.0	0.0	0.0	151.0	1085094.0
SdA01085_CKDL210020579-1a-AK3911-AK8488_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	854.0	183.0	181.0	82.0	39.0	36.0	27.0	22.0	1.0	1.0	145.0	2615135.0
SdA01085_CKDL210020579-1a-AK3911-AK8488_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	773.0	189.0	154.0	63.0	44.0	23.0	28.0	22.0	0.0	0.0	275.0	2615135.0
SdA01086_CKDL210020579-1a-AK3911-AK4234_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	635.0	175.0	155.0	60.0	38.0	25.0	13.0	14.0	0.0	0.0	104.0	2030442.0
SdA01086_CKDL210020579-1a-AK3911-AK4234_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	574.0	169.0	114.0	70.0	34.0	20.0	21.0	10.0	0.0	0.0	207.0	2030442.0
SdA01087_CKDL210020579-1a-5UDI245-AK8488_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	761.0	164.0	135.0	59.0	35.0	27.0	19.0	13.0	0.0	0.0	170.0	2303617.0
SdA01087_CKDL210020579-1a-5UDI245-AK8488_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	702.0	162.0	117.0	58.0	36.0	32.0	16.0	10.0	0.0	0.0	250.0	2303617.0
SdA01088_CKDL210020579-1a-5UDI245-AK4234_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	777.0	200.0	161.0	62.0	50.0	37.0	11.0	11.0	0.0	0.0	168.0	2458986.0
SdA01088_CKDL210020579-1a-5UDI245-AK4234_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	771.0	182.0	141.0	63.0	46.0	25.0	26.0	14.0	0.0	0.0	209.0	2458986.0
SdA01089_CKDL210020579-1a-AK8593-AK8488_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1094.0	245.0	219.0	108.0	63.0	43.0	26.0	25.0	3.0	0.0	397.0	3172888.0
SdA01089_CKDL210020579-1a-AK8593-AK8488_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	994.0	230.0	186.0	87.0	62.0	30.0	26.0	17.0	2.0	0.0	272.0	3173205.0
SdA01090_CKDL210020579-1a-AK8593-AK4234_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1119.0	268.0	209.0	86.0	88.0	30.0	21.0	14.0	2.0	1.0	153.0	3978740.0
SdA01090_CKDL210020579-1a-AK8593-AK4234_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1039.0	283.0	181.0	94.0	69.0	34.0	27.0	11.0	2.0	0.0	251.0	3978740.0
SdA01091_CKDL210020579-1a-5UDI294-AK8488_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	100.0	21.0	15.0	8.0	5.0	2.0	8.0	1.0	0.0	0.0	14.0	288628.0
SdA01091_CKDL210020579-1a-5UDI294-AK8488_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	84.0	20.0	10.0	6.0	1.0	1.0	4.0	2.0	0.0	0.0	17.0	288657.0
SdA01092_CKDL210020579-1a-5UDI294-AK4234_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	420.0	116.0	92.0	38.0	29.0	9.0	26.0	14.0	0.0	0.0	148.0	1113085.0
SdA01092_CKDL210020579-1a-5UDI294-AK4234_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	360.0	101.0	74.0	41.0	27.0	24.0	26.0	9.0	0.0	0.0	118.0	1113197.0
SdA01094_CKDL210020579-1a-AK9146-AK4234_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1040.0	251.0	195.0	80.0	55.0	30.0	31.0	25.0	2.0	0.0	275.0	2201578.0
SdA01094_CKDL210020579-1a-AK9146-AK4234_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	916.0	249.0	168.0	54.0	59.0	26.0	17.0	14.0	0.0	0.0	260.0	2201799.0
SdA01095_CKDL210020579-1a-AK5577-AK8488_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	325.0	81.0	64.0	41.0	35.0	13.0	14.0	10.0	0.0	0.0	68.0	928405.0
SdA01095_CKDL210020579-1a-AK5577-AK8488_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	315.0	85.0	64.0	33.0	21.0	6.0	11.0	3.0	1.0	0.0	19.0	928498.0
SdA01096_CKDL210020579-1a-AK5577-AK4234_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1044.0	269.0	183.0	92.0	63.0	41.0	16.0	16.0	0.0	1.0	247.0	2188135.0
SdA01096_CKDL210020579-1a-AK5577-AK4234_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	906.0	232.0	158.0	67.0	60.0	27.0	21.0	18.0	0.0	0.0	264.0	2188354.0
SdA02001_CKDL210020579-1a-AK9143-AK7096_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	13.0	5.0	5.0	2.0	0.0	0.0	23.0	0.0	0.0	0.0	-9.0	380934.0
SdA02001_CKDL210020579-1a-AK9143-AK7096_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	11.0	1.0	1.0	1.0	0.0	1.0	15.0	0.0	0.0	0.0	9.0	380934.0
SdA02002_CKDL210020579-1a-AK9144-AK7549_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	19.0	4.0	3.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	24.0	880800.0
SdA02002_CKDL210020579-1a-AK9144-AK7549_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	15.0	0.0	2.0	4.0	1.0	0.0	51.0	0.0	0.0	0.0	16.0	880800.0
SdA02003_CKDL210020579-1a-AK9143-7UDI286_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	34.0	8.0	5.0	4.0	0.0	0.0	22.0	1.0	0.0	0.0	24.0	487578.0
SdA02003_CKDL210020579-1a-AK9143-7UDI286_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	41.0	5.0	5.0	2.0	0.0	1.0	28.0	0.0	0.0	0.0	16.0	487578.0
SdA02004_CKDL210020579-1a-AK7758-AK7099_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	115.0	29.0	13.0	5.0	6.0	4.0	13.0	1.0	0.0	0.0	15.0	400045.0
SdA02004_CKDL210020579-1a-AK7758-AK7099_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	94.0	17.0	19.0	6.0	5.0	1.0	7.0	0.0	0.0	0.0	12.0	400085.0
SdA02005_CKDL210020579-1a-5UDI301-7UDI304_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	205.0	35.0	44.0	17.0	4.0	7.0	12.0	7.0	2.0	0.0	23.0	711184.0
SdA02005_CKDL210020579-1a-5UDI301-7UDI304_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	165.0	34.0	26.0	13.0	11.0	2.0	9.0	3.0	0.0	0.0	22.0	711255.0
SdA02006_CKDL210020579-1a-5UDI301-AK7096_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	115.0	20.0	25.0	16.0	3.0	2.0	9.0	1.0	0.0	0.0	53.0	404990.0
SdA02006_CKDL210020579-1a-5UDI301-AK7096_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	93.0	21.0	17.0	13.0	1.0	6.0	9.0	4.0	0.0	0.0	39.0	405031.0
SdA02007_CKDL210020579-1a-AK7758-GD07_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	86.0	19.0	20.0	8.0	5.0	8.0	17.0	2.0	0.0	0.0	40.0	409000.0
SdA02007_CKDL210020579-1a-AK7758-GD07_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	75.0	12.0	14.0	6.0	5.0	4.0	9.0	1.0	0.0	0.0	-3.0	409082.0
SdA02008_CKDL210020579-1a-AK7078-7UDI304_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	22.0	5.0	5.0	3.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	126697.0
SdA02008_CKDL210020579-1a-AK7078-7UDI304_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	19.0	1.0	4.0	3.0	1.0	0.0	4.0	0.0	0.0	0.0	7.0	126697.0
SdA02009_CKDL210020579-1a-AK9144-AK845_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	13.0	1.0	1.0	1.0	0.0	0.0	21.0	0.0	0.0	0.0	12.0	488019.0
SdA02009_CKDL210020579-1a-AK9144-AK845_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	7.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	12.0	488019.0
SdA02010_CKDL210020579-1a-AK7758-AK7549_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	134.0	33.0	25.0	10.0	3.0	4.0	14.0	3.0	0.0	0.0	27.0	503839.0
SdA02010_CKDL210020579-1a-AK7758-AK7549_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	114.0	32.0	26.0	19.0	4.0	5.0	13.0	4.0	0.0	0.0	36.0	503839.0
SdA02011_CKDL210020579-1a-5UDI301-7UDI286_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	12.0	3.0	1.0	0.0	1.0	0.0	25.0	0.0	0.0	0.0	-3.0	386673.0
SdA02011_CKDL210020579-1a-5UDI301-7UDI286_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	8.0	2.0	2.0	1.0	0.0	0.0	19.0	0.0	0.0	0.0	7.0	386673.0
SdA02012_CKDL210020579-1a-AK7078-AK7096_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	83.0	12.0	15.0	6.0	2.0	2.0	7.0	1.0	0.0	1.0	14.0	356618.0
SdA02012_CKDL210020579-1a-AK7078-AK7096_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	65.0	16.0	9.0	6.0	2.0	2.0	4.0	0.0	0.0	0.0	4.0	356653.0
SdA02013_CKDL210020579-1a-AK9143-AK7533_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	26.0	6.0	7.0	1.0	1.0	1.0	13.0	1.0	0.0	0.0	19.0	374070.0
SdA02013_CKDL210020579-1a-AK9143-AK7533_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	22.0	6.0	3.0	4.0	0.0	0.0	26.0	0.0	0.0	0.0	14.0	374070.0
SdA02014_CKDL210020579-1a-AK7758-AK7096_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	108.0	14.0	15.0	9.0	2.0	3.0	20.0	1.0	0.0	0.0	13.0	613521.0
SdA02014_CKDL210020579-1a-AK7758-AK7096_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	89.0	17.0	9.0	5.0	3.0	1.0	17.0	0.0	0.0	0.0	44.0	613521.0
SdA02015_CKDL210020579-1a-AK7078-7UDI286_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	80.0	18.0	11.0	7.0	2.0	0.0	17.0	1.0	0.0	0.0	3.0	461943.0
SdA02015_CKDL210020579-1a-AK7078-7UDI286_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	59.0	6.0	5.0	3.0	4.0	3.0	16.0	0.0	0.0	0.0	-3.0	461989.0
SdA02016_CKDL210020579-1a-AK7078-AK7533_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	38.0	9.0	5.0	4.0	1.0	1.0	18.0	0.0	0.0	0.0	19.0	313446.0
SdA02016_CKDL210020579-1a-AK7078-AK7533_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	32.0	10.0	7.0	2.0	3.0	0.0	15.0	1.0	0.0	0.0	-7.0	313478.0
SdA02017_CKDL210020579-1a-AK9144-AK7099_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	16.0	2.0	1.0	2.0	0.0	0.0	25.0	0.0	0.0	0.0	1.0	466417.0
SdA02017_CKDL210020579-1a-AK9144-AK7099_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	10.0	1.0	2.0	2.0	1.0	1.0	30.0	0.0	0.0	0.0	0.0	466417.0
SdA02019_CKDL210020579-1a-AK9144-7UDI286_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	19.0	2.0	3.0	0.0	0.0	1.0	19.0	0.0	0.0	0.0	0.0	431516.0
SdA02019_CKDL210020579-1a-AK9144-7UDI286_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	22.0	5.0	4.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	-9.0	431516.0
SdA02020_CKDL210020579-1a-AK7758-AK845_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	67.0	12.0	8.0	2.0	1.0	2.0	24.0	1.0	0.0	0.0	43.0	530447.0
SdA02020_CKDL210020579-1a-AK7758-AK845_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	43.0	14.0	7.0	6.0	1.0	1.0	22.0	1.0	0.0	0.0	12.0	530500.0
SdA02021_CKDL210020579-1a-AK9143-AK7549_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	84.0	17.0	14.0	9.0	4.0	1.0	15.0	1.0	0.0	0.0	20.0	547146.0
SdA02021_CKDL210020579-1a-AK9143-AK7549_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	71.0	21.0	13.0	7.0	3.0	4.0	23.0	1.0	0.0	0.0	22.0	547146.0
SdA02022_CKDL210020579-1a-AK9144-GD07_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	16.0	4.0	4.0	0.0	1.0	2.0	26.0	0.0	0.0	0.0	10.0	622585.0
SdA02022_CKDL210020579-1a-AK9144-GD07_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	14.0	1.0	4.0	2.0	1.0	1.0	35.0	1.0	0.0	0.0	4.0	622585.0
SdA02023_CKDL210020579-1a-AK3911-7UDI304_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	7.0	2.0	1.0	0.0	2.0	0.0	32.0	0.0	0.0	0.0	16.0	593804.0
SdA02023_CKDL210020579-1a-AK3911-7UDI304_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	15.0	3.0	0.0	0.0	2.0	0.0	28.0	0.0	0.0	0.0	12.0	593804.0
SdA02024_CKDL210020579-1a-AK7078-AK7549_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	43.0	9.0	6.0	1.0	0.0	0.0	28.0	0.0	0.0	0.0	31.0	589630.0
SdA02024_CKDL210020579-1a-AK7078-AK7549_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	45.0	4.0	6.0	4.0	3.0	0.0	20.0	0.0	0.0	0.0	-23.0	589689.0
SdA02025_CKDL210020579-1a-AK9143-GD07_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	81.0	11.0	13.0	3.0	1.0	5.0	15.0	0.0	0.0	0.0	13.0	472898.0
SdA02025_CKDL210020579-1a-AK9143-GD07_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	64.0	14.0	11.0	5.0	1.0	1.0	13.0	0.0	1.0	0.0	32.0	472898.0
SdA02026_CKDL210020579-1a-AK3911-AK7096_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	9.0	0.0	1.0	1.0	0.0	0.0	17.0	0.0	0.0	0.0	4.0	316160.0
SdA02026_CKDL210020579-1a-AK3911-AK7096_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	3.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	7.0	316160.0
SdA02027_CKDL210020579-1a-AK9143-AK845_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	62.0	8.0	12.0	4.0	3.0	1.0	7.0	0.0	0.0	0.0	25.0	303058.0
SdA02027_CKDL210020579-1a-AK9143-AK845_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	59.0	11.0	10.0	4.0	2.0	1.0	7.0	0.0	0.0	0.0	-3.0	303089.0
SdA02030_CKDL210020579-1a-AK3911-7UDI286_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	8.0	2.0	1.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	-1.0	345009.0
SdA02030_CKDL210020579-1a-AK3911-7UDI286_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	20.0	6.0	1.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	20.0	344974.0
SdA02031_CKDL210020579-1a-AK3911-AK7533_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	14.0	6.0	1.0	1.0	0.0	1.0	41.0	0.0	0.0	0.0	11.0	744011.0
SdA02031_CKDL210020579-1a-AK3911-AK7533_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	13.0	2.0	4.0	0.0	1.0	0.0	41.0	1.0	0.0	0.0	13.0	744011.0
SdA02032_CKDL210020579-1a-AK3911-AK7549_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	7.0	1.0	0.0	0.0	2.0	0.0	25.0	0.0	0.0	0.0	12.0	462706.0
SdA02032_CKDL210020579-1a-AK3911-AK7549_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	10.0	3.0	4.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	12.0	462706.0
SdA02033_CKDL210020579-1a-AK9143-AK7099_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	40.0	9.0	5.0	3.0	5.0	1.0	13.0	2.0	0.0	0.0	30.0	357503.0
SdA02033_CKDL210020579-1a-AK9143-AK7099_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	42.0	2.0	5.0	8.0	2.0	1.0	21.0	0.0	0.0	0.0	27.0	357503.0
SdA02034_CKDL210020579-1a-AK3911-AK845_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	14.0	0.0	2.0	1.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	259038.0
SdA02034_CKDL210020579-1a-AK3911-AK845_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	8.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	-4.0	259038.0
SdA02035_CKDL210020579-1a-AK7078-AK845_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	38.0	13.0	4.0	2.0	1.0	2.0	13.0	0.0	0.0	0.0	-2.0	352958.0
SdA02035_CKDL210020579-1a-AK7078-AK845_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	28.0	7.0	3.0	1.0	2.0	1.0	13.0	1.0	1.0	0.0	14.0	352958.0
SdA02036_CKDL210020579-1a-AK7078-AK7099_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	70.0	11.0	11.0	5.0	4.0	2.0	12.0	1.0	0.0	1.0	29.0	362398.0
SdA02036_CKDL210020579-1a-AK7078-AK7099_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	63.0	9.0	13.0	4.0	2.0	1.0	12.0	0.0	0.0	0.0	5.0	362435.0
SdA02037_CKDL210020579-1a-AK3911-AK7099_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	11.0	1.0	2.0	1.0	0.0	0.0	38.0	0.0	0.0	0.0	17.0	697927.0
SdA02037_CKDL210020579-1a-AK3911-AK7099_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	16.0	2.0	3.0	1.0	0.0	1.0	35.0	0.0	0.0	0.0	12.0	697927.0
SdA02038_CKDL210020579-1a-AK3911-GD07_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	3.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	17955.0
SdA02038_CKDL210020579-1a-AK3911-GD07_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	17957.0
SdA02039_CKDL210020579-1a-5UDI245-7UDI304_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	9.0	2.0	3.0	0.0	1.0	0.0	13.0	0.0	0.0	0.0	7.0	340441.0
SdA02039_CKDL210020579-1a-5UDI245-7UDI304_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	13.0	3.0	1.0	1.0	1.0	0.0	21.0	0.0	0.0	0.0	-5.0	340441.0
SdA02041_CKDL210020579-1a-5UDI245-AK7096_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	3.0	1.0	0.0	0.0	2.0	0.0	10.0	0.0	0.0	0.0	5.0	202893.0
SdA02041_CKDL210020579-1a-5UDI245-AK7096_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	6.0	1.0	1.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	4.0	202893.0
SdA02044_CKDL210020579-1a-5UDI245-7UDI286_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	10.0	0.0	1.0	0.0	0.0	1.0	15.0	0.0	0.0	0.0	9.0	355512.0
SdA02044_CKDL210020579-1a-5UDI245-7UDI286_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	4.0	1.0	0.0	1.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	355512.0
SdA02045_CKDL210020579-1a-AK9144-AK7533_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	21.0	1.0	0.0	1.0	0.0	0.0	30.0	0.0	0.0	0.0	-2.0	501279.0
SdA02045_CKDL210020579-1a-AK9144-AK7533_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	10.0	0.0	3.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	18.0	501279.0
SdA02046_CKDL210020579-1a-5UDI225-7UDI304_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	85.0	20.0	21.0	6.0	1.0	2.0	24.0	3.0	0.0	0.0	46.0	690495.0
SdA02046_CKDL210020579-1a-5UDI225-7UDI304_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	73.0	12.0	14.0	5.0	4.0	4.0	28.0	0.0	0.0	0.0	-1.0	690564.0
