Sample	Protists_1k	Human	Bacteria_24k	Bird	Fungi_RefSeq_release	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Sfa-CBas_086-Ex1-cssl.clmp.fp2_r2_screen	89502.0	10308.0	3935.0	11408.0	6653.0	2435.0	1074.0	511.0	14.0	0.0	563894.0	6655669.0
Sfa-CBas_088-Ex1-cssl.clmp.fp2_r1_screen	86859.0	10019.0	1923.0	13073.0	6602.0	2364.0	1150.0	502.0	32.0	0.0	633009.0	5883597.0
Sfa-CBas_088-Ex1-cssl.clmp.fp2_r2_screen	88203.0	10198.0	1969.0	12623.0	6829.0	2335.0	1071.0	438.0	31.0	0.0	636484.0	5878949.0
Sfa-CBas_090-Ex1-cssl.clmp.fp2_r1_screen	12040.0	1739.0	334.0	944.0	1423.0	220.0	185.0	83.0	4.0	0.0	76723.0	734730.0
Sfa-CBas_090-Ex1-cssl.clmp.fp2_r2_screen	13191.0	1714.0	355.0	909.0	1577.0	303.0	203.0	91.0	5.0	0.0	81643.0	728434.0
Sfa-CBas_091-Ex1-cssl.clmp.fp2_r1_screen	66734.0	9932.0	7884.0	8905.0	5702.0	1888.0	915.0	418.0	26.0	0.0	478657.0	4677409.0
Sfa-CBas_091-Ex1-cssl.clmp.fp2_r2_screen	68215.0	9984.0	7739.0	8556.0	5894.0	1956.0	926.0	442.0	15.0	0.0	484696.0	4670047.0
Sfa-CBas_092-Ex1-cssl.clmp.fp2_r1_screen	19103.0	2735.0	562.0	1707.0	2338.0	500.0	218.0	200.0	8.0	0.0	113579.0	1223517.0
Sfa-CBas_092-Ex1-cssl.clmp.fp2_r2_screen	21129.0	3119.0	554.0	1560.0	2510.0	447.0	337.0	168.0	6.0	0.0	125583.0	1209054.0
Sfa-CBas_096-Ex1-cssl.clmp.fp2_r1_screen	20754.0	2870.0	765.0	1619.0	2421.0	450.0	320.0	135.0	3.0	0.0	109819.0	1286622.0
Sfa-CBas_096-Ex1-cssl.clmp.fp2_r2_screen	22064.0	2887.0	705.0	1516.0	2392.0	389.0	270.0	186.0	4.0	0.0	118154.0	1277211.0
