file 	#reads_raw	#reads_fp1	#reads_clmp	#reads_fp2	#reads_fqscrn	#reads_repr	%_readLoss_fp1	%_readLoss_clmp	%_readLoss_fp2	%_readLoss_fqscrn	%_readLoss_repr	%_total_readLoss
	9014589	7113031	7068373	6347008	6143788	21.0942	0.627834	10.2055	3.20182	99.9997	99.9998
	4272891	3515077	3495041	3158180	3071667	17.7354	0.570002	9.63826	2.73933	99.9994	99.9996
	2253701	1890104	1878738	1664095	1607324	16.1333	0.601343	11.4249	3.41152	99.999	99.9993
	5655135	4690874	4666294	4236135	4112494	17.0511	0.523996	9.21843	2.91872	99.9996	99.9997
	4720700	3942490	3919071	3515171	3397902	16.4851	0.594015	10.306	3.33608	99.9995	99.9997
	8155518	6665715	6629458	6040200	5881083	18.2674	0.543933	8.88848	2.6343	99.9997	99.9998
	7749229	6382065	6344076	5719644	5545241	17.6426	0.595246	9.84276	3.04919	99.9997	99.9998
	6206604	4912874	4882017	4369419	4215211	20.8444	0.628084	10.4997	3.52926	99.9995	99.9997
	2586124	2141396	2129246	1926801	1871239	17.1967	0.567387	9.50783	2.88364	99.9991	99.9993
	5001227	4093447	4070998	3717032	3618618	18.1511	0.548413	8.69482	2.64765	99.9995	99.9996
	7636592	6269023	6235434	5621076	5458098	17.9081	0.535793	9.85269	2.89941	99.9997	99.9998
	8783831	7205513	7169713	6502587	6313791	17.9684	0.496842	9.30478	2.9034	99.9997	99.9998
	5141596	4219045	4196512	3782537	3674940	17.9429	0.534078	9.86474	2.84457	99.9995	99.9997
	5164054	4202972	4179891	3767744	3650981	18.611	0.549159	9.86023	3.09902	99.9995	99.9996
	7833999	6390140	6350715	5705707	5506090	18.4307	0.616966	10.1565	3.49855	99.9997	99.9998
	4509865	3734087	3711644	3338852	3223153	17.2018	0.60103	10.0439	3.46523	99.9995	99.9996
	3676062	2984300	2965491	2623122	2519087	18.818	0.630265	11.5451	3.96608	99.9993	99.9995
	1246613	1037979	1031309	840842	809962	16.7361	0.642595	18.4685	3.67251	99.9979	99.9987
	2617416	2131975	2118119	1757344	1699808	18.5466	0.649914	17.0328	3.27403	99.9989	99.9993
	6381502	5211512	5179748	4504987	4349359	18.3341	0.609497	13.0269	3.45457	99.9996	99.9997
	1148215	955765	949718	724168	705291	16.7608	0.632687	23.7492	2.60672	99.9976	99.9985
	5329541	4369060	4339604	3843301	3690350	18.0218	0.674195	11.4366	3.97968	99.9995	99.9997
	244352	204335	203258	179450	174250	16.3768	0.527076	11.7132	2.89774	99.9906	99.9933
	4749134	3902534	3876682	3346334	3213024	17.8264	0.662441	13.6805	3.98376	99.9994	99.9996
	2541156	2109763	2095656	1743435	1672429	16.9763	0.668653	16.8072	4.07276	99.999	99.9993
	316474	266947	265113	222153	214020	15.6496	0.687028	16.2044	3.66099	99.9927	99.9951
	3366764	2768985	2752131	2390237	2306452	17.7553	0.608671	13.1496	3.5053	99.9992	99.9995
	4302827	3507484	3484212	3084415	2978625	18.4842	0.663496	11.4745	3.42982	99.9994	99.9996
	323602	274569	272860	197520	192492	15.1523	0.62243	27.6112	2.54557	99.9921	99.9953
	837257	684655	680283	542071	527389	18.2264	0.63857	20.3168	2.7085	99.9965	99.9978
	308988	258494	236448	189701	180958	16.3417	8.52863	19.7705	4.60883	99.991	99.9947
	960110	799853	794460	598223	581917	16.6915	0.674249	24.7007	2.72574	99.9971	99.9983
	1286337	1074264	1066812	896041	857509	16.4866	0.693684	16.0076	4.30025	99.9981	99.9987
	1172113	980144	972947	760089	728094	16.378	0.73428	21.8777	4.20938	99.9978	99.9986
	2215368	1808852	1797111	1457990	1410667	18.3498	0.649086	18.8703	3.24577	99.9987	99.9992
	2429021	1989021	1977773	1648199	1594697	18.1143	0.565504	16.6639	3.24609	99.9989	99.9993
	2081705	1688489	1677569	1391993	1339625	18.8891	0.646732	17.0232	3.76209	99.9986	99.9991
	654909	550827	547258	439601	423785	15.8926	0.647935	19.6721	3.59781	99.9962	99.9976
	1435264	1152017	1144630	940581	912684	19.7348	0.641223	17.8266	2.96593	99.9978	99.9986
	2972165	2423402	2408623	2012665	1952036	18.4634	0.609845	16.4392	3.01237	99.9991	99.9994
	1584948	1331606	1322824	1118468	1076681	15.9842	0.659504	15.4485	3.73609	99.9985	99.999
	1562532	1284549	1275585	1057389	1024416	17.7905	0.697832	17.1056	3.11834	99.9983	99.9989
	2554357	2092214	2078499	1743505	1681034	18.0923	0.655526	16.1171	3.58307	99.9989	99.9993
	4523982	3724560	3700901	3102284	2990121	17.6708	0.635216	16.1749	3.6155	99.9994	99.9996
	2171869	1794284	1782268	1500242	1455970	17.3853	0.669682	15.824	2.95099	99.9988	99.9992
	1521416	1261053	1252548	975925	946416	17.1132	0.674436	22.0848	3.0237	99.9982	99.9989
	831624	691464	686363	535395	521000	16.8538	0.73771	21.9954	2.68867	99.9968	99.998
	2077073	1730975	1718347	1411131	1371754	16.6628	0.729531	17.8786	2.79046	99.9988	99.9992
	1233727	1019093	1011826	799974	774270	17.3972	0.713085	20.9376	3.2131	99.9978	99.9986
	890217	742505	737416	536803	523675	16.5928	0.685383	27.2049	2.44559	99.9968	99.9981
	799115	673410	668764	554638	534436	15.7305	0.689921	17.0652	3.64238	99.9971	99.998
	969265	808679	803789	642650	625242	16.5678	0.60469	20.0474	2.70878	99.9974	99.9983
	2468001	2012676	1998737	1640073	1588533	18.4491	0.692561	17.9445	3.14254	99.9988	99.9993
	1291595	1080413	1073713	876038	848461	16.3505	0.620133	18.4104	3.14792	99.9981	99.9987
	492233	415361	376448	295979	285368	15.617	9.36848	21.3759	3.58505	99.9945	99.9968
	3525972	2905854	2887246	2445764	2360822	17.5872	0.640363	15.2908	3.47303	99.9993	99.9995
	969238	814129	809070	668793	646729	16.0032	0.6214	17.3381	3.29908	99.9975	99.9983
	3704258	3051116	3032763	2597087	2497441	17.6322	0.601518	14.3656	3.83684	99.9993	99.9995
	6380596	5113079	5082887	4504450	4352714	19.8652	0.590486	11.3801	3.36858	99.9995	99.9997
	1779678	1468107	1458265	1166574	1126075	17.5072	0.670387	20.0026	3.47162	99.9984	99.999
	1385382	1166656	1158700	962207	929260	15.7881	0.681949	16.9581	3.42411	99.9983	99.9989
	1139735	938280	932261	744308	723520	17.6756	0.641493	20.161	2.79293	99.9976	99.9984
	4057137	3375508	3353705	2937398	2834002	16.8007	0.645918	12.4133	3.51999	99.9994	99.9996
	1834448	1532519	1522277	1316130	1264777	16.4588	0.668311	13.542	3.90182	99.9987	99.9991
	1328919	1093661	1086502	872717	851435	17.703	0.65459	19.6764	2.43859	99.9979	99.9987
	2624206	2182397	2168381	1856990	1798661	16.8359	0.64223	14.3605	3.14105	99.9991	99.9994
	2271822	1889161	1877872	1631938	1579614	16.8438	0.597567	13.0964	3.20625	99.9989	99.9993
	1640883	1380465	1370525	1144439	1095316	15.8706	0.720047	16.4963	4.29232	99.9986	99.999
	4064847	3296960	3273280	2830510	2712066	18.8909	0.718237	13.5268	4.18455	99.9993	99.9995
	6264269	5052718	5023558	4407889	4291040	19.3407	0.577115	12.2556	2.65091	99.9995	99.9997
	2906898	2420188	2405064	2089687	2024979	16.7433	0.62491	13.113	3.09654	99.9992	99.9994
	1698804	1406186	1397500	1238618	1194406	17.2249	0.617699	11.369	3.56946	99.9986	99.999
	918908	771979	766785	619006	598232	15.9895	0.672816	19.2725	3.35603	99.9973	99.9983
	1443132	1193422	1185442	990995	953590	17.3033	0.668665	16.4029	3.77449	99.9982	99.9988
	958546	802777	797365	658571	633463	16.2506	0.67416	17.4066	3.8125	99.9974	99.9983
