Sample	Bacteria_24k	Human	Protists_1k	Fungi_RefSeq_release	Bird	Viruses	Plant	Coral	Vectors	Contamnts_Adaptrs	Ecoli	Multiple Genomes	No hits
Leq-ABas_052_Ex1_L3_clmp.fp2_r2_screen	429268.0	234046.0	99952.0	16907.0	2675.0	4775.0	963.0	753.0	13.0	2.0	0.0	664273.0	7142624.0
Leq-ABas_053_Ex1_L3_clmp.fp2_r1_screen	1000421.0	164697.0	304652.0	43645.0	11793.0	2356.0	3982.0	2898.0	84.0	0.0	0.0	1952507.0	16857392.0
Leq-ABas_053_Ex1_L3_clmp.fp2_r2_screen	999188.0	164756.0	306062.0	43797.0	11827.0	2407.0	3863.0	2797.0	84.0	0.0	0.0	1966495.0	16843151.0
Leq-ABas_054_Ex1_L3_clmp.fp2_r1_screen	22913.0	13582.0	4243.0	1677.0	118.0	95.0	43.0	23.0	1.0	0.0	0.0	31171.0	285926.0
Leq-ABas_054_Ex1_L3_clmp.fp2_r2_screen	23195.0	13586.0	4393.0	1717.0	113.0	91.0	52.0	27.0	2.0	0.0	0.0	31122.0	285494.0
Leq-ABas_055_Ex1_L3_clmp.fp2_r1_screen	15693.0	20814.0	2985.0	1345.0	66.0	105.0	34.0	23.0	2.0	0.0	0.0	24467.0	219396.0
Leq-ABas_055_Ex1_L3_clmp.fp2_r2_screen	15812.0	20890.0	3048.0	1368.0	84.0	107.0	25.0	15.0	0.0	0.0	0.0	24356.0	219225.0
Leq-ABas_056_Ex1_L3_clmp.fp2_r1_screen	771970.0	134666.0	225797.0	56128.0	6224.0	6983.0	2321.0	1654.0	57.0	0.0	1.0	1373429.0	13828081.0
Leq-ABas_056_Ex1_L3_clmp.fp2_r2_screen	773324.0	134602.0	226501.0	56419.0	6169.0	6948.0	2233.0	1639.0	51.0	0.0	0.0	1384470.0	13814955.0
Leq-ABas_058_Ex1_L3_clmp.fp2_r1_screen	533940.0	468471.0	167516.0	243857.0	5806.0	2464.0	2128.0	1612.0	29.0	1.0	0.0	1184902.0	11655531.0
Leq-ABas_058_Ex1_L3_clmp.fp2_r2_screen	535101.0	468820.0	168331.0	243842.0	5627.0	2486.0	2094.0	1550.0	33.0	1.0	0.0	1194254.0	11644118.0
Leq-CMig_004-Ex1_L3_clmp.fp2_r1_screen	22596.0	7440.0	30717.0	2802.0	1640.0	240.0	460.0	404.0	2.0	0.0	0.0	148440.0	2344746.0
Leq-CMig_004-Ex1_L3_clmp.fp2_r2_screen	22642.0	7437.0	30955.0	2886.0	1561.0	250.0	456.0	407.0	5.0	0.0	0.0	149422.0	2343466.0
Leq-CMig_005-Ex1_L3_clmp.fp2_r1_screen	4260.0	7544.0	51626.0	4147.0	2814.0	304.0	881.0	698.0	8.0	0.0	0.0	264247.0	4343975.0
Leq-CMig_005-Ex1_L3_clmp.fp2_r2_screen	4316.0	7510.0	52525.0	4150.0	2779.0	312.0	893.0	724.0	13.0	0.0	0.0	267987.0	4339295.0
Leq-CMig_006-Ex1_L3_clmp.fp2_r1_screen	12178.0	3882.0	26406.0	2090.0	1316.0	132.0	393.0	303.0	6.0	0.0	0.0	129212.0	1908413.0
Leq-CMig_006-Ex1_L3_clmp.fp2_r2_screen	12176.0	3829.0	26570.0	2040.0	1302.0	141.0	410.0	322.0	10.0	0.0	0.0	130994.0	1906537.0
Leq-CMig_007-Ex1_L3_clmp.fp2_r1_screen	14431.0	13498.0	50015.0	4512.0	2709.0	360.0	710.0	618.0	6.0	0.0	0.0	242794.0	3990819.0
Leq-CMig_007-Ex1_L3_clmp.fp2_r2_screen	14340.0	13547.0	51378.0	4641.0	2674.0	369.0	736.0	603.0	11.0	0.0	0.0	244810.0	3987363.0
Leq-CMig_008-Ex1_L3_clmp.fp2_r1_screen	21296.0	7827.0	38135.0	2989.0	1845.0	203.0	573.0	459.0	5.0	0.0	0.0	197795.0	2775233.0
Leq-CMig_008-Ex1_L3_clmp.fp2_r2_screen	21090.0	8136.0	38911.0	3180.0	1913.0	205.0	624.0	477.0	3.0	0.0	0.0	199025.0	2772796.0
Leq-CMig_009-Ex1_L3_clmp.fp2_r1_screen	993.0	4215.0	33312.0	2681.0	1714.0	230.0	518.0	452.0	14.0	0.0	0.0	166138.0	2600786.0
Leq-CMig_009-Ex1_L3_clmp.fp2_r2_screen	995.0	4110.0	34016.0	2588.0	1711.0	259.0	518.0	432.0	9.0	0.0	0.0	168440.0	2597975.0
Leq-CMig_012-Ex1_L3_clmp.fp2_r1_screen	70357.0	8067.0	58524.0	4325.0	2868.0	361.0	883.0	721.0	13.0	0.0	0.0	282919.0	4485480.0
Leq-CMig_012-Ex1_L3_clmp.fp2_r2_screen	70105.0	8157.0	59242.0	4492.0	2822.0	373.0	907.0	731.0	19.0	0.0	0.0	287104.0	4480566.0
Leq-CMig_014-Ex1_L3_clmp.fp2_r1_screen	2257.0	7185.0	52660.0	4125.0	2864.0	291.0	836.0	658.0	11.0	0.0	0.0	254022.0	4290274.0
Leq-CMig_014-Ex1_L3_clmp.fp2_r2_screen	2303.0	7080.0	53891.0	4217.0	2898.0	334.0	823.0	687.0	7.0	0.0	0.0	257285.0	4285658.0
Leq-CMig_015-Ex1_L3_clmp.fp2_r1_screen	7321.0	7731.0	37497.0	3101.0	2037.0	218.0	579.0	470.0	9.0	0.0	0.0	174976.0	3001722.0
Leq-CMig_015-Ex1_L3_clmp.fp2_r2_screen	7312.0	7870.0	37934.0	3035.0	2032.0	242.0	609.0	436.0	9.0	0.0	0.0	178343.0	2997839.0
Leq-CMig_016-Ex1_L3_clmp.fp2_r1_screen	3028.0	2924.0	12334.0	1163.0	705.0	87.0	233.0	162.0	4.0	0.0	0.0	63900.0	1071953.0
Leq-CMig_016-Ex1_L3_clmp.fp2_r2_screen	3042.0	2916.0	12696.0	1236.0	684.0	91.0	211.0	157.0	2.0	0.0	0.0	64199.0	1071259.0
Leq-CMig_017-Ex1_L3_clmp.fp2_r1_screen	1925.0	3635.0	26654.0	2030.0	1505.0	185.0	388.0	368.0	6.0	0.0	0.0	136329.0	2184262.0
Leq-CMig_017-Ex1_L3_clmp.fp2_r2_screen	1961.0	3430.0	27018.0	2116.0	1508.0	178.0	411.0	375.0	5.0	0.0	0.0	138381.0	2181904.0
Leq-CMig_020-Ex1_L3_clmp.fp2_r1_screen	34429.0	3963.0	14173.0	1157.0	746.0	111.0	196.0	178.0	5.0	0.0	0.0	72442.0	1111891.0
