Sample	Protists_1k	Human	Bacteria_24k	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Tbi-CJos_059_Ex1_L4_clmp.fp2_r1_screen	83393.0	12046.0	2309.0	8561.0	6365.0	1874.0	1249.0	395.0	9.0	0.0	356764.0	9808873.0
Tbi-CJos_059_Ex1_L4_clmp.fp2_r2_screen	87361.0	11840.0	2467.0	8417.0	6481.0	1833.0	1428.0	343.0	12.0	0.0	370262.0	9791394.0
Tbi-CJos_060_Ex1_L4_clmp.fp2_r1_screen	57090.0	8112.0	2228.0	5663.0	4438.0	1260.0	843.0	274.0	9.0	0.0	266142.0	6759862.0
Tbi-CJos_060_Ex1_L4_clmp.fp2_r2_screen	60023.0	8608.0	2183.0	5856.0	4702.0	1186.0	807.0	355.0	22.0	0.0	272976.0	6749203.0
Tbi-CJos_067_Ex1_L4_clmp.fp2_r1_screen	52841.0	6991.0	1478.0	5099.0	4051.0	901.0	792.0	241.0	11.0	0.0	225300.0	6174134.0
Tbi-CJos_067_Ex1_L4_clmp.fp2_r2_screen	53562.0	7375.0	1476.0	5192.0	3838.0	961.0	697.0	261.0	4.0	0.0	230164.0	6168309.0
Tbi-CJos_068_Ex1_L4_clmp.fp2_r1_screen	67461.0	9372.0	1973.0	6621.0	5074.0	1381.0	1146.0	339.0	37.0	0.0	288010.0	7716547.0
Tbi-CJos_068_Ex1_L4_clmp.fp2_r2_screen	69084.0	9792.0	1975.0	6663.0	5221.0	1360.0	947.0	335.0	10.0	0.0	298984.0	7703590.0
Tbi-CJos_070_Ex1_L4_clmp.fp2_r1_screen	28978.0	4394.0	812.0	2865.0	2266.0	633.0	389.0	121.0	6.0	0.0	128076.0	3487413.0
Tbi-CJos_070_Ex1_L4_clmp.fp2_r2_screen	31094.0	4145.0	881.0	2896.0	2235.0	613.0	503.0	143.0	5.0	0.0	133337.0	3480101.0
Tbi-CJos_071_Ex1_L4_clmp.fp2_r1_screen	88894.0	12529.0	3015.0	9139.0	6767.0	2022.0	1424.0	402.0	15.0	0.0	394633.0	10134942.0
Tbi-CJos_071_Ex1_L4_clmp.fp2_r2_screen	91693.0	12483.0	3179.0	8588.0	6829.0	1948.0	1421.0	418.0	7.0	0.0	405058.0	10122158.0
Tbi-CJos_072_Ex1_L4_clmp.fp2_r1_screen	1989.0	338.0	88.0	207.0	218.0	52.0	31.0	8.0	0.0	0.0	9798.0	280564.0
Tbi-CJos_072_Ex1_L4_clmp.fp2_r2_screen	2411.0	451.0	92.0	313.0	209.0	45.0	28.0	12.0	0.0	0.0	10195.0	279537.0
Tbi-CJos_073_Ex1_L4_clmp.fp2_r1_screen	43921.0	6283.0	1861.0	4356.0	3670.0	873.0	593.0	246.0	8.0	0.0	196255.0	5388889.0
Tbi-CJos_073_Ex1_L4_clmp.fp2_r2_screen	46210.0	6594.0	1822.0	4353.0	3535.0	948.0	664.0	293.0	9.0	0.0	203803.0	5378724.0
Tbi-CJos_080_Ex1_L4_clmp.fp2_r1_screen	84714.0	12017.0	2477.0	8413.0	6638.0	1774.0	1382.0	400.0	36.0	1.0	360691.0	9638629.0
Tbi-CJos_080_Ex1_L4_clmp.fp2_r2_screen	87820.0	12585.0	2508.0	8393.0	6330.0	1907.0	1474.0	399.0	17.0	0.0	375321.0	9620418.0
Tbi-CJos_081_Ex1_L4_clmp.fp2_r1_screen	127687.0	17430.0	3459.0	12429.0	9121.0	2447.0	1955.0	604.0	30.0	0.0	610180.0	13314152.0
Tbi-CJos_081_Ex1_L4_clmp.fp2_r2_screen	134631.0	17710.0	3599.0	12768.0	9257.0	2644.0	1948.0	551.0	23.0	0.0	629000.0	13287363.0
Tbi-CJos_085_Ex1_L4_clmp.fp2_r1_screen	73634.0	10504.0	1792.0	7230.0	5605.0	1582.0	1223.0	299.0	22.0	0.0	307887.0	8757498.0
Tbi-CJos_085_Ex1_L4_clmp.fp2_r2_screen	75881.0	10676.0	1870.0	7270.0	5298.0	1557.0	1189.0	328.0	12.0	0.0	317614.0	8745581.0
Tbi-CJos_086_Ex1_L4_clmp.fp2_r1_screen	78163.0	10794.0	1845.0	7507.0	5971.0	1589.0	1233.0	352.0	16.0	0.0	332170.0	9076373.0
Tbi-CJos_086_Ex1_L4_clmp.fp2_r2_screen	81016.0	11268.0	1914.0	7668.0	5858.0	1618.0	1118.0	287.0	31.0	0.0	344088.0	9061147.0
Tbi-CJos_087_Ex1_L4_clmp.fp2_r1_screen	100276.0	14129.0	2703.0	9938.0	7733.0	1979.0	1584.0	586.0	26.0	0.0	435880.0	11707924.0
Tbi-CJos_087_Ex1_L4_clmp.fp2_r2_screen	103862.0	14473.0	2764.0	10252.0	7490.0	2193.0	1530.0	479.0	10.0	0.0	451433.0	11688272.0
Tbi-CJos_091_Ex1_L4_clmp.fp2_r1_screen	47034.0	6311.0	2530.0	4858.0	3512.0	895.0	688.0	218.0	8.0	0.0	204634.0	5525613.0
Tbi-CJos_091_Ex1_L4_clmp.fp2_r2_screen	49784.0	6811.0	2538.0	4936.0	3679.0	969.0	841.0	228.0	6.0	0.0	214227.0	5512282.0
Tbi-CJos_092_Ex1_L4_clmp.fp2_r1_screen	91061.0	13115.0	2651.0	8794.0	7016.0	1891.0	1381.0	393.0	34.0	0.0	386398.0	10124891.0
Tbi-CJos_092_Ex1_L4_clmp.fp2_r2_screen	94407.0	12731.0	2526.0	8976.0	6704.0	1827.0	1335.0	374.0	15.0	0.0	399795.0	10108935.0
Tbi-CJos_093_Ex1_L4_clmp.fp2_r1_screen	104121.0	15049.0	2750.0	10328.0	7987.0	2020.0	1675.0	462.0	46.0	0.0	445238.0	11618936.0
Tbi-CJos_093_Ex1_L4_clmp.fp2_r2_screen	107249.0	15568.0	2721.0	10810.0	7631.0	2187.0	1712.0	405.0	27.0	0.0	462121.0	11598181.0
Tbi-CJos_095_Ex1_L4_clmp.fp2_r1_screen	44627.0	6311.0	1581.0	4249.0	3351.0	807.0	685.0	194.0	15.0	0.0	190266.0	5490176.0
Tbi-CJos_095_Ex1_L4_clmp.fp2_r2_screen	46796.0	6484.0	1561.0	4554.0	3432.0	899.0	610.0	198.0	9.0	0.0	196730.0	5480989.0
