Sample	Protists_1k	Human	Bacteria_24k	Fungi_RefSeq_release	Bird	Coral	Plant	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
AeC01003_CKDL210012719-1a-AK7078-AK533_HF5TCDSX2_L1_clmp_fp2_r2_screen	23245.0	3134.0	1014.0	2858.0	1628.0	312.0	320.0	101.0	6.0	0.0	79219.0	5966228.0
AeC01004_CKDL210012719-1a-AK9143-AK533_HF5TCDSX2_L1_clmp_fp2_r1_screen	18617.0	2883.0	779.0	2228.0	1409.0	314.0	306.0	73.0	3.0	0.0	61851.0	5338696.0
AeC01004_CKDL210012719-1a-AK9143-AK533_HF5TCDSX2_L1_clmp_fp2_r2_screen	18228.0	3007.0	824.0	2217.0	1402.0	290.0	247.0	70.0	2.0	0.0	62176.0	5338696.0
AeC01005_CKDL210012719-1a-5UDI225-AK533_HF5TCDSX2_L1_clmp_fp2_r1_screen	20376.0	2979.0	957.0	2395.0	1450.0	335.0	307.0	92.0	7.0	0.0	71719.0	5194984.0
AeC01005_CKDL210012719-1a-5UDI225-AK533_HF5TCDSX2_L1_clmp_fp2_r2_screen	20239.0	2892.0	1004.0	2422.0	1509.0	316.0	285.0	81.0	3.0	0.0	71866.0	5194984.0
AeC01006_CKDL210012719-1a-AK9144-AK533_HF5TCDSX2_L1_clmp_fp2_r1_screen	20771.0	2900.0	894.0	2428.0	1627.0	321.0	328.0	99.0	11.0	0.0	73607.0	5524638.0
AeC01006_CKDL210012719-1a-AK9144-AK533_HF5TCDSX2_L1_clmp_fp2_r2_screen	20838.0	3027.0	888.0	2314.0	1532.0	278.0	288.0	85.0	3.0	0.0	73170.0	5525201.0
AeC01007_CKDL210012719-1a-AK3911-AK533_HF5TCDSX2_L1_clmp_fp2_r1_screen	21191.0	3325.0	986.0	2422.0	1672.0	320.0	300.0	79.0	1.0	1.0	71604.0	6227353.0
AeC01007_CKDL210012719-1a-AK3911-AK533_HF5TCDSX2_L1_clmp_fp2_r2_screen	21406.0	3159.0	932.0	2388.0	1590.0	334.0	318.0	105.0	6.0	0.0	71031.0	6227985.0
AeC01008_CKDL210012719-1a-5UDI245-AK533_HF5TCDSX2_L1_clmp_fp2_r1_screen	20523.0	3065.0	947.0	2459.0	1789.0	327.0	284.0	109.0	6.0	0.0	80108.0	5237522.0
AeC01008_CKDL210012719-1a-5UDI245-AK533_HF5TCDSX2_L1_clmp_fp2_r2_screen	20585.0	2863.0	937.0	2390.0	1680.0	318.0	252.0	94.0	2.0	0.0	81031.0	5236987.0
AeC01009_CKDL210012719-1a-AK8593-AK533_HF5TCDSX2_L1_clmp_fp2_r1_screen	21992.0	3202.0	843.0	2463.0	1638.0	344.0	355.0	101.0	3.0	1.0	80025.0	6053857.0
AeC01009_CKDL210012719-1a-AK8593-AK533_HF5TCDSX2_L1_clmp_fp2_r2_screen	21860.0	3122.0	838.0	2474.0	1603.0	364.0	327.0	97.0	3.0	0.0	80279.0	6053857.0
AeC01010_CKDL210012719-1a-AK8593-GD06_HF5TCDSX2_L1_clmp_fp2_r1_screen	18390.0	2496.0	772.0	2140.0	1410.0	300.0	255.0	102.0	4.0	0.0	65464.0	5011066.0
AeC01010_CKDL210012719-1a-AK8593-GD06_HF5TCDSX2_L1_clmp_fp2_r2_screen	18361.0	2641.0	827.0	2064.0	1335.0	326.0	277.0	87.0	3.0	0.0	65412.0	5011066.0
AeC01011_CKDL210012719-1a-5UDI294-GD06_HF5TCDSX2_L1_clmp_fp2_r1_screen	16751.0	2412.0	654.0	2024.0	1273.0	255.0	209.0	69.0	2.0	0.0	60241.0	4737347.0
AeC01011_CKDL210012719-1a-5UDI294-GD06_HF5TCDSX2_L1_clmp_fp2_r2_screen	16983.0	2330.0	663.0	2002.0	1201.0	252.0	219.0	86.0	5.0	0.0	60631.0	4736865.0
AeC01012_CKDL210012719-1a-AK9146-GD06_HF5TCDSX2_L1_clmp_fp2_r1_screen	18686.0	2709.0	683.0	2184.0	1357.0	304.0	271.0	82.0	2.0	0.0	65054.0	5187958.0
AeC01012_CKDL210012719-1a-AK9146-GD06_HF5TCDSX2_L1_clmp_fp2_r2_screen	18661.0	2656.0	713.0	2126.0	1434.0	290.0	272.0	72.0	7.0	0.0	65101.0	5187958.0
AeC01013_CKDL210012719-1a-5UDI301-AK7557_HF5TCDSX2_L1_clmp_fp2_r1_screen	16340.0	2318.0	566.0	1962.0	1245.0	276.0	252.0	69.0	5.0	1.0	57191.0	4584006.0
AeC01013_CKDL210012719-1a-5UDI301-AK7557_HF5TCDSX2_L1_clmp_fp2_r2_screen	16127.0	2361.0	607.0	1991.0	1206.0	262.0	230.0	60.0	3.0	0.0	57378.0	4584006.0
AeC01014_CKDL210012719-1a-AK7758-AK7557_HF5TCDSX2_L1_clmp_fp2_r1_screen	13222.0	1855.0	611.0	1649.0	1052.0	202.0	203.0	59.0	2.0	0.0	45448.0	3674208.0
AeC01014_CKDL210012719-1a-AK7758-AK7557_HF5TCDSX2_L1_clmp_fp2_r2_screen	13305.0	1866.0	573.0	1671.0	1019.0	195.0	193.0	52.0	5.0	0.0	46545.0	3673087.0
AeC01015_CKDL210012719-1a-AK7078-AK7557_HF5TCDSX2_L1_clmp_fp2_r1_screen	14934.0	2085.0	680.0	1808.0	1229.0	215.0	205.0	65.0	1.0	0.0	53100.0	3964895.0
AeC01015_CKDL210012719-1a-AK7078-AK7557_HF5TCDSX2_L1_clmp_fp2_r2_screen	14981.0	2046.0	700.0	1775.0	1126.0	223.0	202.0	58.0	4.0	0.0	53611.0	3964491.0
AeC01016_CKDL210012719-1a-AK9143-AK7557_HF5TCDSX2_L1_clmp_fp2_r1_screen	12392.0	1845.0	994.0	1419.0	939.0	182.0	184.0	43.0	3.0	0.0	41128.0	3481489.0
AeC01016_CKDL210012719-1a-AK9143-AK7557_HF5TCDSX2_L1_clmp_fp2_r2_screen	12410.0	1832.0	1039.0	1601.0	818.0	197.0	165.0	39.0	4.0	0.0	41732.0	3480781.0
AeC01017_CKDL210012719-1a-5UDI225-AK7557_HF5TCDSX2_L1_clmp_fp2_r1_screen	10952.0	1630.0	751.0	1320.0	833.0	178.0	163.0	37.0	6.0	0.0	38138.0	3199441.0
AeC01017_CKDL210012719-1a-5UDI225-AK7557_HF5TCDSX2_L1_clmp_fp2_r2_screen	11424.0	1633.0	731.0	1331.0	851.0	166.0	145.0	50.0	5.0	0.0	38322.0	3198791.0
AeC01018_CKDL210012719-1a-AK9144-AK7557_HF5TCDSX2_L1_clmp_fp2_r1_screen	15305.0	2270.0	741.0	1978.0	1103.0	274.0	249.0	52.0	14.0	0.0	49939.0	4234910.0
AeC01018_CKDL210012719-1a-AK9144-AK7557_HF5TCDSX2_L1_clmp_fp2_r2_screen	15242.0	2312.0	755.0	1863.0	1076.0	271.0	256.0	47.0	2.0	0.0	50962.0	4234049.0
AeC01019_CKDL210012719-1a-AK3911-AK7557_HF5TCDSX2_L1_clmp_fp2_r1_screen	11605.0	1704.0	613.0	1434.0	897.0	206.0	182.0	56.0	4.0	0.0	39476.0	3307672.0
AeC01019_CKDL210012719-1a-AK3911-AK7557_HF5TCDSX2_L1_clmp_fp2_r2_screen	11666.0	1647.0	654.0	1406.0	817.0	165.0	165.0	53.0	8.0	0.0	39932.0	3307336.0
AeC01020_CKDL210012719-1a-5UDI245-AK7557_HF5TCDSX2_L1_clmp_fp2_r1_screen	13914.0	2027.0	650.0	1618.0	1152.0	197.0	210.0	48.0	2.0	0.0	50315.0	3937453.0
AeC01020_CKDL210012719-1a-5UDI245-AK7557_HF5TCDSX2_L1_clmp_fp2_r2_screen	14145.0	1998.0	612.0	1670.0	1089.0	227.0	173.0	61.0	4.0	0.0	50956.0	3936651.0
AeC01021_CKDL210012719-1a-AK8593-AK7557_HF5TCDSX2_L1_clmp_fp2_r1_screen	15765.0	2379.0	754.0	1787.0	1249.0	260.0	223.0	78.0	4.0	0.0	55162.0	4463902.0
AeC01021_CKDL210012719-1a-AK8593-AK7557_HF5TCDSX2_L1_clmp_fp2_r2_screen	15750.0	2258.0	805.0	1811.0	1288.0	239.0	220.0	94.0	1.0	0.0	55195.0	4463902.0
AeC01022_CKDL210012719-1a-5UDI294-AK533_HF5TCDSX2_L1_clmp_fp2_r1_screen	16426.0	2311.0	703.0	1959.0	1259.0	283.0	261.0	57.0	4.0	0.0	55097.0	4849929.0
AeC01022_CKDL210012719-1a-5UDI294-AK533_HF5TCDSX2_L1_clmp_fp2_r2_screen	16283.0	2362.0	707.0	2058.0	1364.0	233.0	248.0	85.0	6.0	0.0	55507.0	4849436.0
AeC01023_CKDL210012719-1a-AK9146-AK533_HF5TCDSX2_L1_clmp_fp2_r1_screen	17117.0	2489.0	755.0	2149.0	1215.0	259.0	243.0	61.0	3.0	1.0	61433.0	4265772.0
AeC01023_CKDL210012719-1a-AK9146-AK533_HF5TCDSX2_L1_clmp_fp2_r2_screen	16939.0	2413.0	791.0	2073.0	1194.0	247.0	243.0	62.0	1.0	0.0	61327.0	4266207.0
AeC01024_CKDL210012719-1a-AK5577-AK533_HF5TCDSX2_L1_clmp_fp2_r1_screen	14019.0	2051.0	499.0	1728.0	1223.0	219.0	209.0	88.0	2.0	0.0	51390.0	3789537.0
AeC01024_CKDL210012719-1a-AK5577-AK533_HF5TCDSX2_L1_clmp_fp2_r2_screen	13974.0	1971.0	569.0	1761.0	1103.0	230.0	213.0	69.0	5.0	0.0	51919.0	3789151.0
AeC01025_CKDL210012719-1a-5UDI301-AK8488_HF5TCDSX2_L1_clmp_fp2_r1_screen	25933.0	3887.0	944.0	2982.0	2151.0	417.0	368.0	145.0	7.0	1.0	91258.0	7827967.0
AeC01025_CKDL210012719-1a-5UDI301-AK8488_HF5TCDSX2_L1_clmp_fp2_r2_screen	25944.0	3866.0	1004.0	3061.0	2181.0	396.0	355.0	129.0	3.0	0.0	91154.0	7827967.0
AeC01026_CKDL210012719-1a-AK7758-AK8488_HF5TCDSX2_L1_clmp_fp2_r1_screen	19422.0	2935.0	1105.0	2344.0	1503.0	288.0	272.0	77.0	2.0	2.0	65483.0	5746077.0
AeC01026_CKDL210012719-1a-AK7758-AK8488_HF5TCDSX2_L1_clmp_fp2_r2_screen	19762.0	2937.0	1044.0	2362.0	1557.0	294.0	257.0	97.0	3.0	0.0	65704.0	5745493.0
AeC01027_CKDL210012719-1a-AK7078-AK8488_HF5TCDSX2_L1_clmp_fp2_r1_screen	23391.0	4342.0	1049.0	2736.0	1686.0	366.0	350.0	73.0	0.0	2.0	76549.0	6629926.0
AeC01027_CKDL210012719-1a-AK7078-AK8488_HF5TCDSX2_L1_clmp_fp2_r2_screen	23108.0	4305.0	1028.0	2732.0	1681.0	379.0	319.0	88.0	5.0	0.0	76899.0	6629926.0
AeC01028_CKDL210012719-1a-AK9143-AK8488_HF5TCDSX2_L1_clmp_fp2_r1_screen	11443.0	1666.0	601.0	1398.0	901.0	182.0	167.0	55.0	2.0	0.0	40903.0	3334222.0
AeC01028_CKDL210012719-1a-AK9143-AK8488_HF5TCDSX2_L1_clmp_fp2_r2_screen	11371.0	1581.0	560.0	1302.0	956.0	184.0	132.0	66.0	2.0	0.0	40824.0	3334562.0
AeC01029_CKDL210012719-1a-5UDI225-AK8488_HF5TCDSX2_L1_clmp_fp2_r1_screen	12402.0	1786.0	670.0	1478.0	1034.0	211.0	172.0	56.0	5.0	1.0	43690.0	3556420.0
AeC01029_CKDL210012719-1a-5UDI225-AK8488_HF5TCDSX2_L1_clmp_fp2_r2_screen	12550.0	1822.0	643.0	1460.0	963.0	166.0	186.0	52.0	3.0	0.0	44384.0	3555696.0
AeC01030_CKDL210012719-1a-AK9144-AK8488_HF5TCDSX2_L1_clmp_fp2_r1_screen	16205.0	2431.0	537.0	1897.0	1339.0	277.0	244.0	75.0	8.0	1.0	59228.0	4699231.0
AeC01030_CKDL210012719-1a-AK9144-AK8488_HF5TCDSX2_L1_clmp_fp2_r2_screen	16313.0	2260.0	569.0	1919.0	1285.0	251.0	232.0	61.0	2.0	0.0	59350.0	4699231.0
AeC01031_CKDL210012719-1a-AK3911-AK8488_HF5TCDSX2_L1_clmp_fp2_r1_screen	13984.0	2474.0	871.0	1597.0	1217.0	210.0	231.0	78.0	2.0	0.0	50245.0	3935238.0
AeC01031_CKDL210012719-1a-AK3911-AK8488_HF5TCDSX2_L1_clmp_fp2_r2_screen	14011.0	2413.0	896.0	1596.0	1131.0	214.0	199.0	64.0	3.0	0.0	50382.0	3935238.0
AeC01032_CKDL210012719-1a-5UDI245-AK8488_HF5TCDSX2_L1_clmp_fp2_r1_screen	12837.0	1849.0	604.0	1492.0	1099.0	200.0	193.0	60.0	2.0	0.0	46239.0	3625403.0
AeC01032_CKDL210012719-1a-5UDI245-AK8488_HF5TCDSX2_L1_clmp_fp2_r2_screen	13138.0	1822.0	621.0	1513.0	1043.0	218.0	153.0	57.0	0.0	0.0	46010.0	3625403.0
AeC01033_CKDL210012719-1a-AK8593-AK8488_HF5TCDSX2_L1_clmp_fp2_r1_screen	14098.0	2147.0	621.0	1686.0	1393.0	210.0	193.0	69.0	1.0	0.0	56672.0	4089893.0
AeC01033_CKDL210012719-1a-AK8593-AK8488_HF5TCDSX2_L1_clmp_fp2_r2_screen	14721.0	2087.0	605.0	1512.0	1326.0	206.0	176.0	94.0	4.0	0.0	56775.0	4089477.0
AeC01034_CKDL210012719-1a-5UDI294-AK7557_HF5TCDSX2_L1_clmp_fp2_r1_screen	14351.0	2004.0	556.0	1659.0	1012.0	229.0	210.0	66.0	3.0	0.0	48488.0	3918469.0
AeC01034_CKDL210012719-1a-5UDI294-AK7557_HF5TCDSX2_L1_clmp_fp2_r2_screen	14548.0	2097.0	540.0	1755.0	1027.0	234.0	219.0	61.0	0.0	0.0	48495.0	3918071.0
AeC01035_CKDL210012719-1a-AK9146-AK7557_HF5TCDSX2_L1_clmp_fp2_r1_screen	15544.0	2154.0	656.0	1851.0	1241.0	281.0	235.0	63.0	5.0	0.0	57135.0	4223277.0
AeC01035_CKDL210012719-1a-AK9146-AK7557_HF5TCDSX2_L1_clmp_fp2_r2_screen	15586.0	2214.0	612.0	1829.0	1190.0	231.0	216.0	80.0	1.0	0.0	57206.0	4223277.0
AeC01036_CKDL210012719-1a-AK5577-AK7557_HF5TCDSX2_L1_clmp_fp2_r1_screen	13077.0	1975.0	652.0	1616.0	1121.0	181.0	188.0	76.0	4.0	0.0	49491.0	3530614.0
AeC01036_CKDL210012719-1a-AK5577-AK7557_HF5TCDSX2_L1_clmp_fp2_r2_screen	13297.0	1994.0	645.0	1587.0	1011.0	242.0	185.0	61.0	3.0	0.0	49356.0	3530614.0
AeC01037_CKDL210012719-1a-5UDI301-GC06_HF5TCDSX2_L1_clmp_fp2_r1_screen	17578.0	2543.0	858.0	1983.0	1325.0	309.0	215.0	78.0	4.0	0.0	59023.0	4630437.0
AeC01037_CKDL210012719-1a-5UDI301-GC06_HF5TCDSX2_L1_clmp_fp2_r2_screen	17235.0	2467.0	903.0	2017.0	1281.0	258.0	244.0	53.0	1.0	0.0	59457.0	4630437.0
AeC01038_CKDL210012719-1a-AK7758-GC06_HF5TCDSX2_L1_clmp_fp2_r1_screen	8422.0	1423.0	449.0	982.0	710.0	164.0	148.0	40.0	2.0	0.0	32507.0	2532557.0
AeC01038_CKDL210012719-1a-AK7758-GC06_HF5TCDSX2_L1_clmp_fp2_r2_screen	8634.0	1367.0	427.0	901.0	761.0	142.0	142.0	35.0	1.0	0.0	32437.0	2532557.0
AeC01039_CKDL210012719-1a-AK7078-GC06_HF5TCDSX2_L1_clmp_fp2_r1_screen	12918.0	1789.0	1882.0	1517.0	1072.0	213.0	181.0	55.0	2.0	0.0	53312.0	3686859.0
AeC01039_CKDL210012719-1a-AK7078-GC06_HF5TCDSX2_L1_clmp_fp2_r2_screen	13171.0	1698.0	1979.0	1485.0	955.0	208.0	160.0	57.0	5.0	0.0	52471.0	3687611.0
AeC01040_CKDL210012719-1a-AK9143-GC06_HF5TCDSX2_L1_clmp_fp2_r1_screen	10697.0	1509.0	620.0	1294.0	805.0	175.0	154.0	44.0	2.0	0.0	33790.0	2962522.0
AeC01040_CKDL210012719-1a-AK9143-GC06_HF5TCDSX2_L1_clmp_fp2_r2_screen	10553.0	1585.0	596.0	1247.0	745.0	156.0	154.0	26.0	0.0	0.0	34028.0	2962522.0
AeC01041_CKDL210012719-1a-5UDI225-GC06_HF5TCDSX2_L1_clmp_fp2_r1_screen	9768.0	1351.0	528.0	1212.0	811.0	142.0	136.0	49.0	4.0	0.0	33872.0	2784815.0
AeC01041_CKDL210012719-1a-5UDI225-GC06_HF5TCDSX2_L1_clmp_fp2_r2_screen	9707.0	1383.0	522.0	1191.0	773.0	150.0	163.0	44.0	3.0	0.0	33937.0	2784815.0
AeC01042_CKDL210012719-1a-AK9144-GC06_HF5TCDSX2_L1_clmp_fp2_r1_screen	11398.0	1604.0	827.0	1288.0	998.0	178.0	145.0	45.0	1.0	0.0	44000.0	2963667.0
AeC01042_CKDL210012719-1a-AK9144-GC06_HF5TCDSX2_L1_clmp_fp2_r2_screen	11543.0	1575.0	782.0	1278.0	879.0	153.0	154.0	77.0	0.0	0.0	43740.0	2963970.0
AeC01043_CKDL210012719-1a-AK3911-GC06_HF5TCDSX2_L1_clmp_fp2_r1_screen	9685.0	1383.0	620.0	995.0	918.0	139.0	148.0	83.0	2.0	0.0	37757.0	2729449.0
AeC01043_CKDL210012719-1a-AK3911-GC06_HF5TCDSX2_L1_clmp_fp2_r2_screen	9605.0	1387.0	580.0	964.0	848.0	102.0	130.0	53.0	1.0	0.0	37782.0	2729727.0
AeC01044_CKDL210012719-1a-5UDI245-GC06_HF5TCDSX2_L1_clmp_fp2_r1_screen	13339.0	1891.0	523.0	1515.0	1139.0	218.0	192.0	76.0	4.0	1.0	51326.0	3587252.0
AeC01044_CKDL210012719-1a-5UDI245-GC06_HF5TCDSX2_L1_clmp_fp2_r2_screen	13260.0	1944.0	514.0	1487.0	1091.0	186.0	181.0	63.0	1.0	0.0	50766.0	3587983.0
AeC01045_CKDL210012719-1a-AK8593-GC06_HF5TCDSX2_L1_clmp_fp2_r1_screen	14943.0	2172.0	887.0	1652.0	1196.0	187.0	223.0	75.0	4.0	0.0	49825.0	4215770.0
AeC01045_CKDL210012719-1a-AK8593-GC06_HF5TCDSX2_L1_clmp_fp2_r2_screen	14863.0	2148.0	838.0	1795.0	1193.0	228.0	197.0	59.0	6.0	0.0	50265.0	4215342.0
AeC01046_CKDL210012719-1a-5UDI294-AK8488_HF5TCDSX2_L1_clmp_fp2_r1_screen	14223.0	2004.0	490.0	1720.0	1101.0	174.0	220.0	56.0	0.0	0.0	47712.0	4060290.0
AeC01046_CKDL210012719-1a-5UDI294-AK8488_HF5TCDSX2_L1_clmp_fp2_r2_screen	14418.0	2021.0	555.0	1707.0	1060.0	211.0	200.0	58.0	1.0	0.0	47469.0	4060290.0
AeC01047_CKDL210012719-1a-AK9146-AK8488_HF5TCDSX2_L1_clmp_fp2_r1_screen	14986.0	2026.0	532.0	1821.0	1197.0	210.0	195.0	70.0	3.0	1.0	56217.0	4440736.0
AeC01047_CKDL210012719-1a-AK9146-AK8488_HF5TCDSX2_L1_clmp_fp2_r2_screen	15355.0	2190.0	557.0	1791.0	1179.0	213.0	214.0	80.0	10.0	0.0	56121.0	4440284.0
AeC01048_CKDL210012719-1a-AK5577-AK8488_HF5TCDSX2_L1_clmp_fp2_r1_screen	13104.0	1867.0	682.0	1637.0	1058.0	196.0	197.0	67.0	11.0	1.0	47641.0	3709683.0
AeC01048_CKDL210012719-1a-AK5577-AK8488_HF5TCDSX2_L1_clmp_fp2_r2_screen	13133.0	1875.0	686.0	1562.0	1027.0	204.0	163.0	80.0	6.0	0.0	47725.0	3709683.0
AeC01049_CKDL210012719-1a-5UDI301-AK4236_HF5TCDSX2_L1_clmp_fp2_r1_screen	21961.0	27286.0	788.0	2642.0	1713.0	342.0	335.0	96.0	2.0	0.0	82782.0	6494084.0
AeC01049_CKDL210012719-1a-5UDI301-AK4236_HF5TCDSX2_L1_clmp_fp2_r2_screen	22427.0	27066.0	865.0	2646.0	1686.0	359.0	297.0	94.0	2.0	0.0	82505.0	6494084.0
AeC01050_CKDL210012719-1a-AK7758-AK4236_HF5TCDSX2_L1_clmp_fp2_r1_screen	15587.0	2359.0	646.0	1903.0	1182.0	253.0	249.0	77.0	1.0	3.0	52014.0	4454580.0
AeC01050_CKDL210012719-1a-AK7758-AK4236_HF5TCDSX2_L1_clmp_fp2_r2_screen	16025.0	2436.0	647.0	1877.0	1153.0	239.0	227.0	65.0	5.0	0.0	52505.0	4453675.0
AeC01051_CKDL210012719-1a-AK7078-AK4236_HF5TCDSX2_L1_clmp_fp2_r1_screen	13270.0	1952.0	613.0	1622.0	1043.0	208.0	178.0	51.0	0.0	0.0	45258.0	3826354.0
AeC01051_CKDL210012719-1a-AK7078-AK4236_HF5TCDSX2_L1_clmp_fp2_r2_screen	13230.0	1927.0	606.0	1537.0	967.0	171.0	179.0	50.0	0.0	0.0	45917.0	3825965.0
AeC01052_CKDL210012719-1a-AK9143-AK4236_HF5TCDSX2_L1_clmp_fp2_r1_screen	17386.0	2418.0	868.0	1981.0	1292.0	243.0	235.0	75.0	2.0	0.0	56327.0	4908457.0
AeC01052_CKDL210012719-1a-AK9143-AK4236_HF5TCDSX2_L1_clmp_fp2_r2_screen	17776.0	2445.0	832.0	2011.0	1286.0	271.0	255.0	82.0	5.0	0.0	57361.0	4906960.0
AeC01053_CKDL210012719-1a-5UDI225-AK4236_HF5TCDSX2_L1_clmp_fp2_r1_screen	9459.0	1419.0	572.0	1153.0	829.0	119.0	143.0	29.0	0.0	0.0	31822.0	2874004.0
AeC01053_CKDL210012719-1a-5UDI225-AK4236_HF5TCDSX2_L1_clmp_fp2_r2_screen	9702.0	1416.0	594.0	1170.0	769.0	137.0	163.0	41.0	0.0	0.0	31553.0	2874004.0
AeC01054_CKDL210012719-1a-AK9144-AK4236_HF5TCDSX2_L1_clmp_fp2_r1_screen	13422.0	1812.0	639.0	1482.0	1284.0	215.0	176.0	71.0	4.0	0.0	52878.0	3798062.0
AeC01054_CKDL210012719-1a-AK9144-AK4236_HF5TCDSX2_L1_clmp_fp2_r2_screen	13405.0	1806.0	630.0	1496.0	1252.0	208.0	193.0	88.0	1.0	0.0	53291.0	3797675.0
AeC01055_CKDL210012719-1a-AK3911-AK4236_HF5TCDSX2_L1_clmp_fp2_r1_screen	10947.0	1583.0	614.0	1302.0	1208.0	165.0	155.0	67.0	0.0	0.0	44879.0	3232022.0
AeC01055_CKDL210012719-1a-AK3911-AK4236_HF5TCDSX2_L1_clmp_fp2_r2_screen	10992.0	1630.0	581.0	1210.0	1148.0	151.0	147.0	79.0	1.0	0.0	44652.0	3232351.0
AeC01056_CKDL210012719-1a-5UDI245-AK4236_HF5TCDSX2_L1_clmp_fp2_r1_screen	11655.0	1807.0	587.0	1386.0	1036.0	194.0	161.0	54.0	2.0	0.0	40656.0	3561164.0
AeC01056_CKDL210012719-1a-5UDI245-AK4236_HF5TCDSX2_L1_clmp_fp2_r2_screen	11780.0	1770.0	614.0	1294.0	961.0	187.0	155.0	50.0	1.0	0.0	41088.0	3560802.0
AeC01057_CKDL210012719-1a-AK8593-AK4236_HF5TCDSX2_L1_clmp_fp2_r1_screen	12063.0	1803.0	574.0	1369.0	1035.0	194.0	177.0	54.0	1.0	1.0	43485.0	3513119.0
AeC01057_CKDL210012719-1a-AK8593-AK4236_HF5TCDSX2_L1_clmp_fp2_r2_screen	11972.0	1768.0	599.0	1409.0	985.0	184.0	155.0	52.0	2.0	0.0	43630.0	3513119.0
AeC01058_CKDL210012719-1a-5UDI294-GC06_HF5TCDSX2_L1_clmp_fp2_r1_screen	23361.0	4751.0	1139.0	2640.0	1827.0	374.0	356.0	103.0	5.0	0.0	82376.0	6642089.0
AeC01058_CKDL210012719-1a-5UDI294-GC06_HF5TCDSX2_L1_clmp_fp2_r2_screen	23870.0	4694.0	1120.0	2738.0	1691.0	350.0	332.0	78.0	4.0	0.0	82730.0	6641414.0
AeC01059_CKDL210012719-1a-AK9146-GC06_HF5TCDSX2_L1_clmp_fp2_r1_screen	17989.0	2465.0	746.0	2082.0	1351.0	253.0	271.0	71.0	3.0	0.0	64592.0	4984875.0
AeC01059_CKDL210012719-1a-AK9146-GC06_HF5TCDSX2_L1_clmp_fp2_r2_screen	17746.0	2386.0	771.0	2045.0	1323.0	260.0	252.0	75.0	2.0	0.0	64963.0	4984875.0
AeC01060_CKDL210012719-1a-AK5577-GC06_HF5TCDSX2_L1_clmp_fp2_r1_screen	16698.0	2405.0	654.0	2010.0	1392.0	300.0	247.0	93.0	10.0	0.0	64183.0	4720277.0
AeC01060_CKDL210012719-1a-AK5577-GC06_HF5TCDSX2_L1_clmp_fp2_r2_screen	17161.0	2354.0	639.0	1862.0	1372.0	261.0	244.0	75.0	1.0	0.0	64504.0	4719796.0
AeC01061_CKDL210012719-1a-5UDI301-AK10343_HF5TCDSX2_L1_clmp_fp2_r1_screen	14239.0	2172.0	611.0	1620.0	1197.0	198.0	202.0	59.0	2.0	0.0	51567.0	4257467.0
AeC01061_CKDL210012719-1a-5UDI301-AK10343_HF5TCDSX2_L1_clmp_fp2_r2_screen	14366.0	2097.0	624.0	1669.0	1179.0	213.0	201.0	57.0	4.0	0.0	51457.0	4257467.0
AeC01062_CKDL210012719-1a-AK7758-AK10343_HF5TCDSX2_L1_clmp_fp2_r1_screen	11339.0	1792.0	542.0	1358.0	950.0	195.0	168.0	63.0	1.0	0.0	39226.0	3510630.0
AeC01062_CKDL210012719-1a-AK7758-AK10343_HF5TCDSX2_L1_clmp_fp2_r2_screen	11682.0	1715.0	530.0	1362.0	976.0	134.0	191.0	54.0	5.0	0.0	39342.0	3510273.0
AeC01063_CKDL210012719-1a-AK7078-AK10343_HF5TCDSX2_L1_clmp_fp2_r1_screen	11362.0	1537.0	737.0	1350.0	877.0	179.0	171.0	48.0	1.0	0.0	36201.0	2814323.0
AeC01063_CKDL210012719-1a-AK7078-AK10343_HF5TCDSX2_L1_clmp_fp2_r2_screen	11066.0	1542.0	763.0	1322.0	819.0	140.0	173.0	51.0	2.0	0.0	36011.0	2814897.0
AeC01064_CKDL210012719-1a-AK9143-AK10343_HF5TCDSX2_L1_clmp_fp2_r1_screen	10962.0	1659.0	476.0	1255.0	899.0	128.0	165.0	49.0	3.0	0.0	36804.0	3417781.0
AeC01064_CKDL210012719-1a-AK9143-AK10343_HF5TCDSX2_L1_clmp_fp2_r2_screen	10924.0	1637.0	478.0	1201.0	884.0	175.0	157.0	28.0	3.0	0.0	36913.0	3417781.0
AeC01065_CKDL210012719-1a-5UDI225-AK10343_HF5TCDSX2_L1_clmp_fp2_r1_screen	8772.0	1349.0	497.0	935.0	774.0	127.0	116.0	32.0	2.0	0.0	30679.0	2595905.0
AeC01065_CKDL210012719-1a-5UDI225-AK10343_HF5TCDSX2_L1_clmp_fp2_r2_screen	8851.0	1392.0	517.0	922.0	781.0	151.0	108.0	43.0	1.0	0.0	30781.0	2595641.0
AeC01066_CKDL210012719-1a-AK9144-AK10343_HF5TCDSX2_L1_clmp_fp2_r1_screen	11071.0	1623.0	568.0	1301.0	972.0	172.0	161.0	62.0	2.0	0.0	38411.0	3279538.0
AeC01066_CKDL210012719-1a-AK9144-AK10343_HF5TCDSX2_L1_clmp_fp2_r2_screen	11085.0	1623.0	572.0	1285.0	935.0	166.0	179.0	48.0	4.0	0.0	38446.0	3279538.0
AeC01067_CKDL210012719-1a-AK3911-AK10343_HF5TCDSX2_L1_clmp_fp2_r1_screen	11636.0	1741.0	456.0	1330.0	966.0	172.0	165.0	46.0	6.0	0.0	40563.0	3204646.0
