Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter
Tbi-CJos_043_Ex1_L4_clmp.r1r2_fastp						24.218600000000002	0.923199	2832356469.0	0.407145	99.2376043425871	0.36883828038450883
Tbi-CJos_044_Ex1_L4_clmp.fp2_r1	23.193780717537393	41.0	138.65979320614608	0.0	5491169.0						
Tbi-CJos_044_Ex1_L4_clmp.fp2_r2	23.99575835403739	41.0	137.8331901640616	0.0	5491169.0						
Tbi-CJos_044_Ex1_L4_clmp.r1r2_fastp						26.2693	0.920361	1398227427.0	0.410461	99.09866483502502	0.4369519264451022
Tbi-CJos_046_Ex1_L4_clmp.fp2_r1	23.40407282910212	40.0	140.58072079985695	0.0	7051361.0						
Tbi-CJos_046_Ex1_L4_clmp.fp2_r2	24.218669412381445	40.0	139.39246395128544	0.0	7051361.0						
Tbi-CJos_046_Ex1_L4_clmp.r1r2_fastp						25.1854	0.917971	1813470364.0	0.40735	99.11275364453698	0.36011044511450163
Tbi-CJos_048_Ex1_L4_clmp.fp2_r1	23.484606457604826	40.0	139.11271692055465	0.0	8750381.0						
Tbi-CJos_048_Ex1_L4_clmp.fp2_r2	25.494379891948597	41.0	138.30788956503721	0.0	8750381.0						
Tbi-CJos_048_Ex1_L4_clmp.r1r2_fastp						25.1181	0.922278	2240237825.0	0.410167	99.09977157081588	0.4133469688681713
Tbi-CJos_052_Ex1_L4_clmp.fp2_r1	24.496588754724186	40.0	140.5410922720049	0.0	9659517.0						
Tbi-CJos_052_Ex1_L4_clmp.fp2_r2	25.794306902015705	40.0	139.39463308569154	0.0	9659517.0						
Tbi-CJos_052_Ex1_L4_clmp.r1r2_fastp						25.2063	0.917167	2481741135.0	0.407652	99.09851746950055	0.3655748596444504
Tbi-CJos_053_Ex1_L4_clmp.fp2_r1	24.970236767222815	40.0	140.59235242714465	0.0	9115938.0						
Tbi-CJos_053_Ex1_L4_clmp.fp2_r2	25.355797727283175	40.0	139.26639035939033	0.0	9115938.0						
Tbi-CJos_053_Ex1_L4_clmp.r1r2_fastp						26.7721	0.914193	2333898180.0	0.408346	99.04328490435782	0.3629076681275542
Tbi-CJos_055_Ex1_L4_clmp.fp2_r1	22.849079437899007	40.0	139.05939955071094	0.0	10582942.0						
Tbi-CJos_055_Ex1_L4_clmp.fp2_r2	25.32711629598981	40.0	138.39653075675932	0.0	10582942.0						
Tbi-CJos_055_Ex1_L4_clmp.r1r2_fastp						23.8787	0.924385	2715889356.0	0.408096	99.21194367228136	0.41043389502806976
Tbi-CJos_056_Ex1_L4_clmp.fp2_r1	21.63582966973911	41.0	138.88276689578933	0.0	6248909.0						
Tbi-CJos_056_Ex1_L4_clmp.fp2_r2	23.794573503016963	42.0	138.45034165163872	0.0	6248909.0						
Tbi-CJos_056_Ex1_L4_clmp.r1r2_fastp						23.8926	0.927003	1607435320.0	0.419503	99.17900364677413	0.45143054583211184
Tbi-CJos_057_Ex1_L4_clmp.fp2_r1	26.281233828811878	40.0	140.30525109160058	0.0	11824151.0						
Tbi-CJos_057_Ex1_L4_clmp.fp2_r2	27.631332984047262	40.0	139.2009850855254	0.0	11824151.0						
Tbi-CJos_057_Ex1_L4_clmp.r1r2_fastp						26.846799999999998	0.916456	3030868578.0	0.406352	99.08700170115058	0.3802783853315568
Tbi-CJos_059_Ex1_L4_clmp.fp2_r1	24.507835396740646	40.0	140.55018674676649	0.0	10281838.0						
Tbi-CJos_059_Ex1_L4_clmp.fp2_r2	25.786529639687444	40.0	139.42938003886076	0.0	10281838.0						
Tbi-CJos_059_Ex1_L4_clmp.r1r2_fastp						24.8858	0.918371	2645467343.0	0.407307	99.12793615219627	0.35894673606824185
Tbi-CJos_060_Ex1_L4_clmp.fp2_r1	23.15440771354183	41.0	140.0961994933521	0.0	7105921.0						
Tbi-CJos_060_Ex1_L4_clmp.fp2_r2	24.87073466791827	41.0	139.184496562796	0.0	7105921.0						
Tbi-CJos_060_Ex1_L4_clmp.r1r2_fastp						24.7424	0.923083	1833021712.0	0.412595	99.17045351936909	0.37183053303245994
Tbi-CJos_067_Ex1_L4_clmp.fp2_r1	22.408567369310134	41.0	139.5795548993107	0.0	6471839.0						
Tbi-CJos_067_Ex1_L4_clmp.fp2_r2	24.566847928917866	41.0	139.00086142439577	0.0	6471839.0						
Tbi-CJos_067_Ex1_L4_clmp.r1r2_fastp						24.6761	0.925621	1669813937.0	0.415005	99.26119733883803	0.4172693626649902
Tbi-CJos_068_Ex1_L4_clmp.fp2_r1	23.257679783967035	40.0	140.34207364051272	0.0	8097961.0						
Tbi-CJos_068_Ex1_L4_clmp.fp2_r2	25.286717294692707	40.0	139.69808671590292	0.0	8097961.0						
Tbi-CJos_068_Ex1_L4_clmp.r1r2_fastp						24.8889	0.924126	2096977571.0	0.408482	99.21454974044575	0.3729936155901628
Tbi-CJos_070_Ex1_L4_clmp.fp2_r1	21.340857736918878	40.0	140.14723931078981	0.0	3655953.0						
Tbi-CJos_070_Ex1_L4_clmp.fp2_r2	21.552423720795787	40.0	139.0271431279341	0.0	3655953.0						
Tbi-CJos_070_Ex1_L4_clmp.r1r2_fastp						23.7971	0.919615	939213725.0	0.409544	99.18012574009644	0.3663689325655999
Tbi-CJos_071_Ex1_L4_clmp.fp2_r1	24.383462806325227	40.0	140.5038340375277	0.0	10653782.0						
Tbi-CJos_071_Ex1_L4_clmp.fp2_r2	25.979831891664347	40.0	139.464154137939	0.0	10653782.0						
Tbi-CJos_071_Ex1_L4_clmp.r1r2_fastp						25.242900000000002	0.918291	2740828761.0	0.408782	99.16813046749505	0.37158558043166295
Tbi-CJos_072_Ex1_L4_clmp.fp2_r1	19.58244136098959	41.0	139.74409549494874	0.0	293293.0						
Tbi-CJos_072_Ex1_L4_clmp.fp2_r2	18.514341186621436	41.0	138.9684888490349	0.0	293293.0						
Tbi-CJos_072_Ex1_L4_clmp.r1r2_fastp						19.7242	0.923247	75517776.0	0.410258	99.23533173407138	0.4506805885915555
Tbi-CJos_073_Ex1_L4_clmp.fp2_r1	23.56059020797447	41.0	141.21654325207126	0.0	5646955.0						
Tbi-CJos_073_Ex1_L4_clmp.fp2_r2	23.441577895007754	41.0	139.82754103760345	0.0	5646955.0						
Tbi-CJos_073_Ex1_L4_clmp.r1r2_fastp						25.500099999999996	0.915442	1453858496.0	0.411942	99.09358566162122	0.32188562540185256
Tbi-CJos_080_Ex1_L4_clmp.fp2_r1	23.2503576706208	40.0	139.49541423235664	0.0	10117172.0						
Tbi-CJos_080_Ex1_L4_clmp.fp2_r2	25.894434796423454	40.0	138.92885640374604	0.0	10117172.0						
Tbi-CJos_080_Ex1_L4_clmp.r1r2_fastp						24.8902	0.924075	2604559046.0	0.406627	99.18389618935224	0.4047677261853387
Tbi-CJos_081_Ex1_L4_clmp.fp2_r1	26.78687375829712	40.0	139.52100018624782	0.0	14099494.0						
Tbi-CJos_081_Ex1_L4_clmp.fp2_r2	28.433929019669307	40.0	138.4705836251996	0.0	14099494.0						
Tbi-CJos_081_Ex1_L4_clmp.r1r2_fastp						27.279500000000002	0.916198	3593490493.0	0.409069	99.00936521764655	0.4222725416953231
Tbi-CJos_085_Ex1_L4_clmp.fp2_r1	23.801000243119105	40.0	140.76994791037163	0.0	9167276.0						
Tbi-CJos_085_Ex1_L4_clmp.fp2_r2	25.353239938545144	40.0	139.61433821780864	0.0	9167276.0						
Tbi-CJos_085_Ex1_L4_clmp.r1r2_fastp						24.129	0.920241	2366863997.0	0.407209	99.18823254206582	0.3472511502004587
Tbi-CJos_086_Ex1_L4_clmp.fp2_r1	24.03256209867554	40.0	139.90950485250494	0.0	9516013.0						
Tbi-CJos_086_Ex1_L4_clmp.fp2_r2	25.775040061752733	40.0	138.99194221361404	0.0	9516013.0						
Tbi-CJos_086_Ex1_L4_clmp.r1r2_fastp						24.5049	0.920301	2444067866.0	0.40661	99.13495597324277	0.3957892078684045
Tbi-CJos_087_Ex1_L4_clmp.fp2_r1	25.587141538738706	40.0	140.38677103302044	0.0	12282758.0						
Tbi-CJos_087_Ex1_L4_clmp.fp2_r2	27.320196712430274	40.0	139.39322039887134	0.0	12282758.0						
Tbi-CJos_087_Ex1_L4_clmp.r1r2_fastp						24.8596	0.919294	3161204168.0	0.407745	99.16559745805543	0.375444812850009
Tbi-CJos_091_Ex1_L4_clmp.fp2_r1	22.483846884485786	40.0	140.62692379156982	0.0	5796301.0						
Tbi-CJos_091_Ex1_L4_clmp.fp2_r2	23.59352809850165	40.0	139.63250476467664	0.0	5796301.0						
Tbi-CJos_091_Ex1_L4_clmp.r1r2_fastp						25.2452	0.920876	1496897811.0	0.409539	99.17459742782239	0.35723928410472544
Tbi-CJos_092_Ex1_L4_clmp.fp2_r1	25.61820465028623	40.0	139.75272318774162	0.0	10637625.0						
Tbi-CJos_092_Ex1_L4_clmp.fp2_r2	27.170208005324398	40.0	138.75935568324695	0.0	10637625.0						
Tbi-CJos_092_Ex1_L4_clmp.r1r2_fastp						26.5308	0.917715	2720704856.0	0.406539	99.06538322277254	0.40245915806914967
Tbi-CJos_093_Ex1_L4_clmp.fp2_r1	26.11193423595806	40.0	140.43356427413698	0.0	12208612.0						
Tbi-CJos_093_Ex1_L4_clmp.fp2_r2	27.651882313025595	40.0	139.4239404118994	0.0	12208612.0						
Tbi-CJos_093_Ex1_L4_clmp.r1r2_fastp						26.7902	0.91675	3134362202.0	0.406109	99.08447225798199	0.37341481313270924
Tbi-CJos_095_Ex1_L4_clmp.fp2_r1	21.881772313400035	41.0	139.0336588612641	0.0	5742262.0						
Tbi-CJos_095_Ex1_L4_clmp.fp2_r2	23.530425892719364	41.0	138.23165783797396	0.0	5742262.0						
Tbi-CJos_095_Ex1_L4_clmp.r1r2_fastp						23.8558	0.925138	1473808528.0	0.41347	99.2351191268261	0.4088811897716798
