Sample	Protists_1k	Bacteria_24k	Human	Bird	Fungi_RefSeq_release	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
SdA01066_CKDL210020579-1a-AK8593-AK4236_HKGLMDSX2_L2_clmp.fp2_r1_screen	41214.0	8701.0	5061.0	2020.0	2714.0	1001.0	447.0	232.0	8.0	1.0	2067897.0	2203825.0
SdA01066_CKDL210020579-1a-AK8593-AK4236_HKGLMDSX2_L2_clmp.fp2_r2_screen	41903.0	8649.0	5061.0	2064.0	2622.0	978.0	426.0	207.0	11.0	0.0	2066509.0	2204691.0
SdA01067_CKDL210020579-1a-5UDI294-AK533_HKGLMDSX2_L2_clmp.fp2_r1_screen	78862.0	24461.0	12550.0	3351.0	4965.0	1908.0	788.0	496.0	22.0	0.0	4358707.0	3494872.0
SdA01067_CKDL210020579-1a-5UDI294-AK533_HKGLMDSX2_L2_clmp.fp2_r2_screen	80131.0	24299.0	12487.0	3354.0	4953.0	1816.0	812.0	505.0	21.0	0.0	4360127.0	3492477.0
SdA01068_CKDL210020579-1a-5UDI294-AK4236_HKGLMDSX2_L2_clmp.fp2_r1_screen	57325.0	15222.0	14077.0	3395.0	3688.0	1492.0	536.0	370.0	14.0	2.0	3925389.0	2201810.0
SdA01068_CKDL210020579-1a-5UDI294-AK4236_HKGLMDSX2_L2_clmp.fp2_r2_screen	58578.0	15325.0	13976.0	3433.0	3591.0	1411.0	580.0	387.0	13.0	1.0	3928571.0	2197454.0
SdA01069_CKDL210020579-1a-AK9146-AK533_HKGLMDSX2_L2_clmp.fp2_r1_screen	81653.0	8488.0	8656.0	3106.0	5251.0	1945.0	951.0	344.0	25.0	2.0	3491977.0	4897833.0
SdA01069_CKDL210020579-1a-AK9146-AK533_HKGLMDSX2_L2_clmp.fp2_r2_screen	82628.0	8510.0	8812.0	3143.0	5069.0	2078.0	954.0	337.0	22.0	0.0	3489995.0	4898683.0
SdA01071_CKDL210020579-1a-AK5577-AK533_HKGLMDSX2_L2_clmp.fp2_r1_screen	43998.0	85829.0	6761.0	3007.0	2460.0	908.0	361.0	662.0	20.0	2.0	4014226.0	1744156.0
SdA01071_CKDL210020579-1a-AK5577-AK533_HKGLMDSX2_L2_clmp.fp2_r2_screen	44698.0	85031.0	6769.0	2924.0	2478.0	941.0	374.0	671.0	14.0	2.0	4007840.0	1750648.0
SdA01072_CKDL210020579-1a-AK5577-AK4236_HKGLMDSX2_L2_clmp.fp2_r1_screen	92465.0	12226.0	10754.0	4317.0	6507.0	2676.0	1179.0	514.0	49.0	7.0	6494151.0	4830877.0
SdA01072_CKDL210020579-1a-AK5577-AK4236_HKGLMDSX2_L2_clmp.fp2_r2_screen	94901.0	12063.0	10800.0	4416.0	6473.0	2472.0	1207.0	487.0	34.0	0.0	6481681.0	4841188.0
SdA01073_CKDL210020579-1a-AK3911-AK7557_HKGLMDSX2_L2_clmp.fp2_r1_screen	31663.0	83762.0	6979.0	2102.0	1777.0	748.0	273.0	446.0	9.0	13.0	2242009.0	1443834.0
SdA01073_CKDL210020579-1a-AK3911-AK7557_HKGLMDSX2_L2_clmp.fp2_r2_screen	33202.0	83063.0	7009.0	2099.0	1706.0	696.0	324.0	454.0	7.0	16.0	2241586.0	1443453.0
SdA01074_CKDL210020579-1a-AK3911-AK10343_HKGLMDSX2_L2_clmp.fp2_r1_screen	45413.0	37425.0	9752.0	5431.0	2984.0	1227.0	537.0	276.0	22.0	0.0	3496759.0	2349316.0
SdA01074_CKDL210020579-1a-AK3911-AK10343_HKGLMDSX2_L2_clmp.fp2_r2_screen	47808.0	37187.0	9897.0	5509.0	2972.0	1263.0	469.0	294.0	18.0	2.0	3493812.0	2349911.0
SdA01075_CKDL210020579-1a-5UDI245-AK7557_HKGLMDSX2_L2_clmp.fp2_r1_screen	53698.0	10693.0	6649.0	5771.0	3390.0	1833.0	668.0	372.0	16.0	4.0	3454806.0	3216394.0
SdA01075_CKDL210020579-1a-5UDI245-AK7557_HKGLMDSX2_L2_clmp.fp2_r2_screen	55537.0	10599.0	6729.0	5581.0	3171.0	1753.0	703.0	366.0	18.0	0.0	3450741.0	3219096.0
SdA01076_CKDL210020579-1a-5UDI245-AK10343_HKGLMDSX2_L2_clmp.fp2_r1_screen	36195.0	23602.0	8025.0	2116.0	1959.0	937.0	337.0	301.0	31.0	4.0	4233013.0	1604969.0
SdA01076_CKDL210020579-1a-5UDI245-AK10343_HKGLMDSX2_L2_clmp.fp2_r2_screen	37856.0	23646.0	7940.0	2014.0	1876.0	983.0	370.0	298.0	31.0	0.0	4225595.0	1610880.0
SdA01077_CKDL210020579-1a-AK8593-AK7557_HKGLMDSX2_L2_clmp.fp2_r1_screen	62325.0	46845.0	16850.0	3355.0	3763.0	1762.0	1012.0	1013.0	40.0	9.0	5776301.0	2871860.0
SdA01077_CKDL210020579-1a-AK8593-AK7557_HKGLMDSX2_L2_clmp.fp2_r2_screen	64862.0	46859.0	16845.0	3399.0	3664.0	1735.0	952.0	1035.0	51.0	0.0	5771237.0	2874496.0
SdA01078_CKDL210020579-1a-AK8593-AK10343_HKGLMDSX2_L2_clmp.fp2_r1_screen	43581.0	8166.0	5435.0	5846.0	2972.0	1202.0	518.0	255.0	18.0	5.0	4372134.0	2293462.0
SdA01078_CKDL210020579-1a-AK8593-AK10343_HKGLMDSX2_L2_clmp.fp2_r2_screen	45389.0	8291.0	5256.0	5535.0	3004.0	1133.0	467.0	219.0	19.0	0.0	4365433.0	2298848.0
SdA01079_CKDL210020579-1a-5UDI294-AK7557_HKGLMDSX2_L2_clmp.fp2_r1_screen	53602.0	12609.0	7627.0	2052.0	2831.0	1582.0	591.0	420.0	25.0	0.0	4498253.0	2193949.0
SdA01079_CKDL210020579-1a-5UDI294-AK7557_HKGLMDSX2_L2_clmp.fp2_r2_screen	55754.0	12528.0	7562.0	1984.0	2785.0	1613.0	503.0	414.0	13.0	1.0	4497112.0	2193272.0
SdA01080_CKDL210020579-1a-5UDI294-AK10343_HKGLMDSX2_L2_clmp.fp2_r1_screen	33488.0	24473.0	37070.0	3671.0	2105.0	1065.0	407.0	247.0	13.0	2.0	3143965.0	1842858.0
SdA01080_CKDL210020579-1a-5UDI294-AK10343_HKGLMDSX2_L2_clmp.fp2_r2_screen	35097.0	24047.0	36841.0	3528.0	2000.0	1120.0	457.0	263.0	26.0	1.0	3140581.0	1845403.0
SdA01082_CKDL210020579-1a-AK9146-AK10343_HKGLMDSX2_L2_clmp.fp2_r1_screen	78825.0	14168.0	13551.0	5982.0	5064.0	2124.0	807.0	440.0	38.0	5.0	5493329.0	3271916.0
SdA01082_CKDL210020579-1a-AK9146-AK10343_HKGLMDSX2_L2_clmp.fp2_r2_screen	82291.0	13886.0	13651.0	5851.0	4833.0	2008.0	790.0	435.0	36.0	0.0	5482554.0	3279914.0
SdA01083_CKDL210020579-1a-AK5577-AK7557_HKGLMDSX2_L2_clmp.fp2_r1_screen	93014.0	7856.0	9066.0	6075.0	5890.0	2839.0	1403.0	477.0	44.0	0.0	5204960.0	5778240.0
SdA01083_CKDL210020579-1a-AK5577-AK7557_HKGLMDSX2_L2_clmp.fp2_r2_screen	95001.0	7968.0	9057.0	6092.0	5935.0	2841.0	1383.0	453.0	34.0	6.0	5195077.0	5786017.0
SdA01084_CKDL210020579-1a-AK5577-AK10343_HKGLMDSX2_L2_clmp.fp2_r1_screen	23843.0	3942.0	3445.0	2666.0	1386.0	811.0	294.0	156.0	20.0	2.0	2980668.0	1126179.0
SdA01084_CKDL210020579-1a-AK5577-AK10343_HKGLMDSX2_L2_clmp.fp2_r2_screen	25172.0	3799.0	3429.0	2540.0	1421.0	762.0	309.0	141.0	16.0	2.0	2973427.0	1132394.0
SdA01085_CKDL210020579-1a-AK3911-AK8488_HKGLMDSX2_L2_clmp.fp2_r1_screen	54512.0	35973.0	8986.0	4416.0	3507.0	1473.0	542.0	380.0	19.0	0.0	3312540.0	2710891.0
SdA01085_CKDL210020579-1a-AK3911-AK8488_HKGLMDSX2_L2_clmp.fp2_r2_screen	56707.0	35257.0	8941.0	4323.0	3452.0	1389.0	540.0	389.0	17.0	0.0	3315013.0	2707211.0
SdA01086_CKDL210020579-1a-AK3911-AK4234_HKGLMDSX2_L2_clmp.fp2_r1_screen	39257.0	25048.0	4580.0	2644.0	2342.0	1197.0	413.0	471.0	15.0	2.0	3434496.0	2104481.0
SdA01086_CKDL210020579-1a-AK3911-AK4234_HKGLMDSX2_L2_clmp.fp2_r2_screen	40553.0	24558.0	4471.0	2671.0	2394.0	1170.0	443.0	413.0	16.0	0.0	3435460.0	2102797.0
SdA01087_CKDL210020579-1a-5UDI245-AK8488_HKGLMDSX2_L2_clmp.fp2_r1_screen	47158.0	14659.0	5672.0	2761.0	2945.0	1224.0	512.0	235.0	13.0	5.0	2953301.0	2383389.0
SdA01087_CKDL210020579-1a-5UDI245-AK8488_HKGLMDSX2_L2_clmp.fp2_r2_screen	48124.0	14647.0	5715.0	2660.0	3105.0	1297.0	531.0	230.0	27.0	2.0	2946194.0	2389342.0
SdA01088_CKDL210020579-1a-5UDI245-AK4234_HKGLMDSX2_L2_clmp.fp2_r1_screen	50822.0	13121.0	14329.0	2588.0	3254.0	1359.0	541.0	290.0	14.0	1.0	3606111.0	2539518.0
SdA01088_CKDL210020579-1a-5UDI245-AK4234_HKGLMDSX2_L2_clmp.fp2_r2_screen	52351.0	13168.0	14441.0	2499.0	3051.0	1338.0	586.0	306.0	21.0	0.0	3602176.0	2542011.0
SdA01089_CKDL210020579-1a-AK8593-AK8488_HKGLMDSX2_L2_clmp.fp2_r1_screen	64420.0	9338.0	6618.0	3822.0	4068.0	1675.0	775.0	380.0	30.0	2.0	4808319.0	3279929.0
SdA01089_CKDL210020579-1a-AK8593-AK8488_HKGLMDSX2_L2_clmp.fp2_r2_screen	66019.0	9213.0	6682.0	3854.0	3827.0	1646.0	765.0	362.0	37.0	1.0	4800497.0	3286473.0
SdA01090_CKDL210020579-1a-AK8593-AK4234_HKGLMDSX2_L2_clmp.fp2_r1_screen	61135.0	7505.0	6736.0	4474.0	3950.0	1706.0	856.0	401.0	29.0	11.0	4237867.0	4087447.0
SdA01090_CKDL210020579-1a-AK8593-AK4234_HKGLMDSX2_L2_clmp.fp2_r2_screen	63463.0	7275.0	6629.0	4414.0	4043.0	1791.0	871.0	353.0	28.0	0.0	4230756.0	4092494.0
SdA01091_CKDL210020579-1a-5UDI294-AK8488_HKGLMDSX2_L2_clmp.fp2_r1_screen	10085.0	23473.0	2048.0	179.0	478.0	153.0	67.0	122.0	7.0	0.0	730499.0	306522.0
SdA01091_CKDL210020579-1a-5UDI294-AK8488_HKGLMDSX2_L2_clmp.fp2_r2_screen	10628.0	23108.0	2019.0	174.0	508.0	144.0	62.0	111.0	4.0	0.0	728850.0	308025.0
SdA01092_CKDL210020579-1a-5UDI294-AK4234_HKGLMDSX2_L2_clmp.fp2_r1_screen	31580.0	49385.0	4115.0	1271.0	1636.0	778.0	241.0	453.0	5.0	3.0	2690617.0	1174515.0
SdA01092_CKDL210020579-1a-5UDI294-AK4234_HKGLMDSX2_L2_clmp.fp2_r2_screen	32346.0	49116.0	4083.0	1302.0	1586.0	790.0	307.0	531.0	12.0	4.0	2691193.0	1173329.0
SdA01094_CKDL210020579-1a-AK9146-AK4234_HKGLMDSX2_L2_clmp.fp2_r1_screen	68492.0	19018.0	14196.0	5765.0	4461.0	1663.0	684.0	505.0	29.0	3.0	4808996.0	2316023.0
SdA01094_CKDL210020579-1a-AK9146-AK4234_HKGLMDSX2_L2_clmp.fp2_r2_screen	70791.0	18775.0	14125.0	5778.0	4264.0	1583.0	669.0	501.0	26.0	0.0	4802232.0	2321091.0
SdA01095_CKDL210020579-1a-AK5577-AK8488_HKGLMDSX2_L2_clmp.fp2_r1_screen	23947.0	14064.0	2394.0	1213.0	1334.0	712.0	258.0	177.0	10.0	0.0	3361103.0	974481.0
SdA01095_CKDL210020579-1a-AK5577-AK8488_HKGLMDSX2_L2_clmp.fp2_r2_screen	25547.0	13872.0	2430.0	1170.0	1378.0	639.0	276.0	196.0	13.0	1.0	3355748.0	978423.0
SdA01096_CKDL210020579-1a-AK5577-AK4234_HKGLMDSX2_L2_clmp.fp2_r1_screen	63192.0	18421.0	8684.0	11530.0	4094.0	1618.0	707.0	435.0	33.0	1.0	5180130.0	2295903.0
SdA01096_CKDL210020579-1a-AK5577-AK4234_HKGLMDSX2_L2_clmp.fp2_r2_screen	65845.0	18076.0	8884.0	11632.0	4114.0	1553.0	725.0	405.0	40.0	1.0	5169986.0	2303487.0
SdA02001_CKDL210020579-1a-AK9143-AK7096_HKGLMDSX2_L2_clmp.fp2_r1_screen	6940.0	96921.0	51490.0	81.0	2108.0	22.0	13.0	54.0	2.0	1.0	294114.0	405294.0
SdA02001_CKDL210020579-1a-AK9143-AK7096_HKGLMDSX2_L2_clmp.fp2_r2_screen	7088.0	97038.0	51157.0	71.0	2125.0	31.0	8.0	55.0	0.0	1.0	293658.0	405808.0
SdA02002_CKDL210020579-1a-AK9144-AK7549_HKGLMDSX2_L2_clmp.fp2_r1_screen	15993.0	186110.0	17701.0	31.0	1890.0	21.0	7.0	139.0	3.0	3.0	204409.0	935261.0
SdA02002_CKDL210020579-1a-AK9144-AK7549_HKGLMDSX2_L2_clmp.fp2_r2_screen	15709.0	183778.0	17533.0	38.0	1940.0	25.0	9.0	139.0	5.0	5.0	202497.0	939890.0
SdA02003_CKDL210020579-1a-AK9143-7UDI286_HKGLMDSX2_L2_clmp.fp2_r1_screen	9990.0	121681.0	28833.0	150.0	3039.0	48.0	16.0	123.0	1.0	1.0	1203314.0	521195.0
SdA02003_CKDL210020579-1a-AK9143-7UDI286_HKGLMDSX2_L2_clmp.fp2_r2_screen	10156.0	121638.0	28495.0	138.0	2950.0	44.0	19.0	132.0	5.0	2.0	1203050.0	521762.0
SdA02004_CKDL210020579-1a-AK7758-AK7099_HKGLMDSX2_L2_clmp.fp2_r1_screen	13023.0	24930.0	25704.0	699.0	912.0	185.0	74.0	53.0	9.0	0.0	3902403.0	419923.0
SdA02004_CKDL210020579-1a-AK7758-AK7099_HKGLMDSX2_L2_clmp.fp2_r2_screen	14160.0	24784.0	25763.0	637.0	886.0	146.0	77.0	50.0	5.0	4.0	3900164.0	421239.0
SdA02005_CKDL210020579-1a-5UDI301-7UDI304_HKGLMDSX2_L2_clmp.fp2_r1_screen	18654.0	53131.0	16570.0	1037.0	1645.0	269.0	103.0	93.0	14.0	2.0	3962789.0	744257.0
SdA02005_CKDL210020579-1a-5UDI301-7UDI304_HKGLMDSX2_L2_clmp.fp2_r2_screen	20319.0	53181.0	16555.0	926.0	1542.0	302.0	110.0	96.0	8.0	3.0	3958866.0	746656.0
SdA02006_CKDL210020579-1a-5UDI301-AK7096_HKGLMDSX2_L2_clmp.fp2_r1_screen	14245.0	48753.0	19314.0	855.0	1106.0	208.0	84.0	95.0	3.0	0.0	4870673.0	430898.0
SdA02006_CKDL210020579-1a-5UDI301-AK7096_HKGLMDSX2_L2_clmp.fp2_r2_screen	15707.0	48490.0	19270.0	837.0	1117.0	200.0	76.0	86.0	3.0	2.0	4865777.0	434669.0
SdA02007_CKDL210020579-1a-AK7758-GD07_HKGLMDSX2_L2_clmp.fp2_r1_screen	10771.0	54427.0	59919.0	885.0	1461.0	165.0	67.0	167.0	3.0	1.0	3696721.0	434418.0
SdA02007_CKDL210020579-1a-AK7758-GD07_HKGLMDSX2_L2_clmp.fp2_r2_screen	12054.0	54037.0	59572.0	855.0	1452.0	134.0	51.0	147.0	2.0	4.0	3693298.0	437399.0
SdA02008_CKDL210020579-1a-AK7078-7UDI304_HKGLMDSX2_L2_clmp.fp2_r1_screen	3778.0	23788.0	4704.0	126.0	558.0	52.0	13.0	21.0	3.0	0.0	2485978.0	134255.0
SdA02008_CKDL210020579-1a-AK7078-7UDI304_HKGLMDSX2_L2_clmp.fp2_r2_screen	4082.0	23669.0	4541.0	144.0	541.0	25.0	12.0	22.0	1.0	0.0	2485453.0	134786.0
SdA02009_CKDL210020579-1a-AK9144-AK845_HKGLMDSX2_L2_clmp.fp2_r1_screen	7558.0	161360.0	3976.0	27.0	966.0	11.0	5.0	84.0	2.0	2.0	135370.0	535194.0
SdA02009_CKDL210020579-1a-AK9144-AK845_HKGLMDSX2_L2_clmp.fp2_r2_screen	7496.0	159358.0	3959.0	23.0	937.0	9.0	2.0	70.0	0.0	5.0	134884.0	537812.0
SdA02010_CKDL210020579-1a-AK7758-AK7549_HKGLMDSX2_L2_clmp.fp2_r1_screen	19178.0	57245.0	5532.0	1161.0	1425.0	248.0	95.0	122.0	5.0	1.0	6581810.0	539774.0
SdA02010_CKDL210020579-1a-AK7758-AK7549_HKGLMDSX2_L2_clmp.fp2_r2_screen	20897.0	57051.0	5563.0	1110.0	1363.0	256.0	101.0	83.0	5.0	2.0	6580391.0	539774.0
SdA02011_CKDL210020579-1a-5UDI301-7UDI286_HKGLMDSX2_L2_clmp.fp2_r1_screen	6758.0	106271.0	4288.0	56.0	1547.0	22.0	4.0	66.0	0.0	1.0	210828.0	412374.0
SdA02011_CKDL210020579-1a-5UDI301-7UDI286_HKGLMDSX2_L2_clmp.fp2_r2_screen	6973.0	105459.0	4301.0	58.0	1516.0	23.0	4.0	80.0	3.0	8.0	210006.0	413784.0
SdA02012_CKDL210020579-1a-AK7078-AK7096_HKGLMDSX2_L2_clmp.fp2_r1_screen	8543.0	27136.0	6321.0	533.0	872.0	127.0	87.0	67.0	2.0	2.0	2635844.0	371632.0
SdA02012_CKDL210020579-1a-AK7078-AK7096_HKGLMDSX2_L2_clmp.fp2_r2_screen	9532.0	26663.0	6292.0	533.0	917.0	105.0	62.0	48.0	0.0	0.0	2633247.0	373767.0
SdA02013_CKDL210020579-1a-AK9143-AK7533_HKGLMDSX2_L2_clmp.fp2_r1_screen	8738.0	104252.0	44781.0	123.0	10613.0	41.0	29.0	93.0	1.0	5.0	1414829.0	401334.0
SdA02013_CKDL210020579-1a-AK9143-AK7533_HKGLMDSX2_L2_clmp.fp2_r2_screen	8874.0	103575.0	44836.0	158.0	10599.0	38.0	30.0	110.0	1.0	4.0	1413494.0	403120.0
SdA02014_CKDL210020579-1a-AK7758-AK7096_HKGLMDSX2_L2_clmp.fp2_r1_screen	16082.0	119504.0	32604.0	521.0	1475.0	165.0	59.0	91.0	3.0	0.0	2899416.0	648941.0
SdA02014_CKDL210020579-1a-AK7758-AK7096_HKGLMDSX2_L2_clmp.fp2_r2_screen	16644.0	119587.0	32552.0	477.0	1513.0	136.0	65.0	103.0	7.0	0.0	2896605.0	651172.0
SdA02015_CKDL210020579-1a-AK7078-7UDI286_HKGLMDSX2_L2_clmp.fp2_r1_screen	10949.0	85795.0	33505.0	409.0	1270.0	110.0	44.0	127.0	0.0	1.0	1198236.0	488096.0
SdA02015_CKDL210020579-1a-AK7078-7UDI286_HKGLMDSX2_L2_clmp.fp2_r2_screen	11061.0	84900.0	33307.0	395.0	1232.0	86.0	31.0	112.0	0.0	2.0	1197319.0	490097.0
SdA02016_CKDL210020579-1a-AK7078-AK7533_HKGLMDSX2_L2_clmp.fp2_r1_screen	8948.0	70315.0	428271.0	304.0	827.0	66.0	27.0	85.0	2.0	1.0	1711077.0	337591.0
SdA02016_CKDL210020579-1a-AK7078-AK7533_HKGLMDSX2_L2_clmp.fp2_r2_screen	9985.0	70328.0	427667.0	277.0	875.0	78.0	32.0	69.0	4.0	1.0	1706259.0	341939.0
SdA02017_CKDL210020579-1a-AK9144-AK7099_HKGLMDSX2_L2_clmp.fp2_r1_screen	8695.0	150217.0	50154.0	51.0	12466.0	16.0	12.0	207.0	0.0	4.0	210913.0	500284.0
SdA02017_CKDL210020579-1a-AK9144-AK7099_HKGLMDSX2_L2_clmp.fp2_r2_screen	8843.0	149700.0	49920.0	57.0	12393.0	32.0	8.0	203.0	0.0	6.0	210453.0	501404.0
SdA02019_CKDL210020579-1a-AK9144-7UDI286_HKGLMDSX2_L2_clmp.fp2_r1_screen	8296.0	99633.0	15304.0	37.0	2070.0	30.0	12.0	104.0	6.0	2.0	580976.0	455869.0
SdA02019_CKDL210020579-1a-AK9144-7UDI286_HKGLMDSX2_L2_clmp.fp2_r2_screen	8307.0	100390.0	15154.0	42.0	2055.0	35.0	9.0	110.0	5.0	8.0	580355.0	455869.0
SdA02020_CKDL210020579-1a-AK7758-AK845_HKGLMDSX2_L2_clmp.fp2_r1_screen	10172.0	104411.0	11053.0	247.0	1460.0	99.0	40.0	105.0	2.0	3.0	1071371.0	563439.0
SdA02020_CKDL210020579-1a-AK7758-AK845_HKGLMDSX2_L2_clmp.fp2_r2_screen	10564.0	103423.0	11174.0	256.0	1493.0	70.0	44.0	93.0	5.0	10.0	1070421.0	564849.0
SdA02021_CKDL210020579-1a-AK9143-AK7549_HKGLMDSX2_L2_clmp.fp2_r1_screen	13171.0	128976.0	27541.0	519.0	2255.0	117.0	56.0	140.0	1.0	3.0	2126574.0	584933.0
SdA02021_CKDL210020579-1a-AK9143-AK7549_HKGLMDSX2_L2_clmp.fp2_r2_screen	13657.0	128785.0	27446.0	477.0	2291.0	124.0	53.0	149.0	1.0	3.0	2124925.0	586375.0
SdA02022_CKDL210020579-1a-AK9144-GD07_HKGLMDSX2_L2_clmp.fp2_r1_screen	12100.0	225043.0	4642.0	44.0	2274.0	23.0	10.0	113.0	7.0	3.0	224636.0	672522.0
SdA02022_CKDL210020579-1a-AK9144-GD07_HKGLMDSX2_L2_clmp.fp2_r2_screen	12273.0	223284.0	4718.0	44.0	2161.0	27.0	5.0	121.0	2.0	9.0	224653.0	674120.0
SdA02023_CKDL210020579-1a-AK3911-7UDI304_HKGLMDSX2_L2_clmp.fp2_r1_screen	10182.0	145774.0	12729.0	30.0	2339.0	10.0	7.0	157.0	1.0	10.0	133475.0	628559.0
SdA02023_CKDL210020579-1a-AK3911-7UDI304_HKGLMDSX2_L2_clmp.fp2_r2_screen	10311.0	144720.0	12658.0	27.0	2260.0	6.0	3.0	135.0	1.0	6.0	133094.0	630052.0
SdA02024_CKDL210020579-1a-AK7078-AK7549_HKGLMDSX2_L2_clmp.fp2_r1_screen	11946.0	141009.0	12490.0	159.0	2200.0	62.0	21.0	426.0	1.0	2.0	1571042.0	628726.0
SdA02024_CKDL210020579-1a-AK7078-AK7549_HKGLMDSX2_L2_clmp.fp2_r2_screen	12099.0	139837.0	12272.0	163.0	2180.0	64.0	31.0	433.0	1.0	6.0	1569904.0	631094.0
SdA02025_CKDL210020579-1a-AK9143-GD07_HKGLMDSX2_L2_clmp.fp2_r1_screen	11314.0	91279.0	9779.0	324.0	1493.0	103.0	45.0	107.0	5.0	4.0	1177825.0	498820.0
SdA02025_CKDL210020579-1a-AK9143-GD07_HKGLMDSX2_L2_clmp.fp2_r2_screen	11637.0	91633.0	9710.0	297.0	1565.0	106.0	29.0	120.0	2.0	7.0	1175022.0	500970.0
SdA02026_CKDL210020579-1a-AK3911-AK7096_HKGLMDSX2_L2_clmp.fp2_r1_screen	5375.0	75246.0	3750.0	14.0	922.0	15.0	3.0	61.0	1.0	4.0	98723.0	335102.0
SdA02026_CKDL210020579-1a-AK3911-AK7096_HKGLMDSX2_L2_clmp.fp2_r2_screen	5357.0	75498.0	3831.0	10.0	933.0	8.0	1.0	67.0	1.0	5.0	97780.0	335725.0
SdA02027_CKDL210020579-1a-AK9143-AK845_HKGLMDSX2_L2_clmp.fp2_r1_screen	8141.0	80011.0	5126.0	162.0	825.0	88.0	25.0	33.0	0.0	1.0	1662563.0	324009.0
SdA02027_CKDL210020579-1a-AK9143-AK845_HKGLMDSX2_L2_clmp.fp2_r2_screen	8352.0	79669.0	5101.0	184.0	827.0	86.0	23.0	35.0	3.0	4.0	1661443.0	325257.0
SdA02030_CKDL210020579-1a-AK3911-7UDI286_HKGLMDSX2_L2_clmp.fp2_r1_screen	5601.0	72677.0	6465.0	40.0	830.0	24.0	6.0	121.0	0.0	1.0	80467.0	363842.0
SdA02030_CKDL210020579-1a-AK3911-7UDI286_HKGLMDSX2_L2_clmp.fp2_r2_screen	5642.0	72503.0	6582.0	38.0	796.0	18.0	2.0	119.0	0.0	2.0	79682.0	364690.0
SdA02031_CKDL210020579-1a-AK3911-AK7533_HKGLMDSX2_L2_clmp.fp2_r1_screen	13425.0	196528.0	8583.0	44.0	2105.0	26.0	9.0	152.0	0.0	3.0	152998.0	786861.0
SdA02031_CKDL210020579-1a-AK3911-AK7533_HKGLMDSX2_L2_clmp.fp2_r2_screen	13184.0	195217.0	8666.0	39.0	2090.0	19.0	4.0	140.0	0.0	10.0	151718.0	789647.0
SdA02032_CKDL210020579-1a-AK3911-AK7549_HKGLMDSX2_L2_clmp.fp2_r1_screen	8069.0	103333.0	3979.0	37.0	1844.0	15.0	4.0	91.0	0.0	3.0	140373.0	490647.0
SdA02032_CKDL210020579-1a-AK3911-AK7549_HKGLMDSX2_L2_clmp.fp2_r2_screen	7999.0	102536.0	4006.0	29.0	1882.0	20.0	4.0	94.0	0.0	5.0	138928.0	492892.0
SdA02033_CKDL210020579-1a-AK9143-AK7099_HKGLMDSX2_L2_clmp.fp2_r1_screen	9197.0	89782.0	8190.0	161.0	1161.0	94.0	53.0	88.0	1.0	1.0	1564477.0	381824.0
SdA02033_CKDL210020579-1a-AK9143-AK7099_HKGLMDSX2_L2_clmp.fp2_r2_screen	9423.0	89553.0	8187.0	155.0	1119.0	77.0	62.0	93.0	1.0	1.0	1563096.0	383262.0
SdA02034_CKDL210020579-1a-AK3911-AK845_HKGLMDSX2_L2_clmp.fp2_r1_screen	5073.0	90219.0	2197.0	24.0	484.0	8.0	2.0	38.0	0.0	0.0	87131.0	280206.0
SdA02034_CKDL210020579-1a-AK3911-AK845_HKGLMDSX2_L2_clmp.fp2_r2_screen	5008.0	89458.0	2198.0	21.0	472.0	9.0	1.0	37.0	2.0	0.0	86062.0	282114.0
SdA02035_CKDL210020579-1a-AK7078-AK845_HKGLMDSX2_L2_clmp.fp2_r1_screen	7632.0	72130.0	137639.0	206.0	926.0	74.0	20.0	60.0	2.0	1.0	1035457.0	374403.0
SdA02035_CKDL210020579-1a-AK7078-AK845_HKGLMDSX2_L2_clmp.fp2_r2_screen	7923.0	71862.0	137115.0	185.0	889.0	57.0	13.0	55.0	2.0	0.0	1034254.0	376195.0
SdA02036_CKDL210020579-1a-AK7078-AK7099_HKGLMDSX2_L2_clmp.fp2_r1_screen	9937.0	60298.0	9128.0	314.0	1199.0	109.0	35.0	64.0	0.0	0.0	2080575.0	383864.0
SdA02036_CKDL210020579-1a-AK7078-AK7099_HKGLMDSX2_L2_clmp.fp2_r2_screen	10386.0	59684.0	9097.0	326.0	1178.0	101.0	47.0	103.0	2.0	1.0	2077934.0	386664.0
SdA02037_CKDL210020579-1a-AK3911-AK7099_HKGLMDSX2_L2_clmp.fp2_r1_screen	11848.0	281465.0	55472.0	35.0	3550.0	40.0	19.0	532.0	0.0	1.0	219978.0	754846.0
SdA02037_CKDL210020579-1a-AK3911-AK7099_HKGLMDSX2_L2_clmp.fp2_r2_screen	11860.0	279670.0	55053.0	28.0	3500.0	37.0	5.0	520.0	0.0	2.0	219078.0	758033.0
SdA02038_CKDL210020579-1a-AK3911-GD07_HKGLMDSX2_L2_clmp.fp2_r1_screen	381.0	3822.0	345.0	22.0	46.0	7.0	0.0	5.0	0.0	0.0	29311.0	19407.0
SdA02038_CKDL210020579-1a-AK3911-GD07_HKGLMDSX2_L2_clmp.fp2_r2_screen	431.0	3593.0	347.0	14.0	40.0	6.0	1.0	16.0	0.0	0.0	29550.0	19348.0
